Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,579,777,698.36","1,579,777,699.91"
writing,"1,579,777,704.54","1,579,777,729.21"
writing,"1,579,782,534.47","1,579,782,537.04"
writing,"1,579,782,541.16","1,579,782,580.76"
writing,"1,579,782,585.36","1,579,782,596.15"
writing,"1,579,782,598.20","1,579,782,608.51"
writing,"1,579,782,623.94","1,579,782,782.86"
writing,"1,579,782,788.53","1,579,782,950.48"
writing,"1,579,782,992.62","1,579,782,997.77"
writing,"1,579,783,005.48","1,579,783,021.42"
writing,"1,579,783,023.48","1,579,783,031.71"
writing,"1,579,783,033.76","1,579,783,043.52"
writing,"1,579,783,045.06","1,579,783,045.58"
writing,"1,579,783,047.65","1,579,783,049.18"
writing,"1,579,783,076.91","1,579,783,084.62"
writing,"1,579,783,093.34","1,579,783,104.14"
writing,"1,579,783,109.28","1,579,783,112.89"
writing,"1,579,783,115.46","1,579,783,124.72"
writing,"1,579,783,128.83","1,579,783,133.98"
writing,"1,579,783,136.04","1,579,783,139.64"
writing,"1,579,783,143.76","1,579,783,149.42"
writing,"1,579,783,150.96","1,579,783,153.02"
writing,"1,579,783,159.72","1,579,783,163.84"
writing,"1,579,783,180.26","1,579,783,185.92"
writing,"1,579,783,191.58","1,579,783,192.61"
writing,"1,579,783,202.89","1,579,783,210.08"
writing,"1,579,783,213.17","1,579,783,220.37"
writing,"1,579,783,223.46","1,579,783,227.06"
writing,"1,579,783,240.93","1,579,783,757.92"
writing,"1,579,783,762.55","1,579,783,778.50"
writing,"1,579,783,785.72","1,579,783,788.29"
writing,"1,579,783,798.06","1,579,783,818.63"
writing,"1,579,783,827.88","1,579,783,828.91"
writing,"1,579,783,835.59","1,579,783,839.71"
writing,"1,579,783,846.39","1,579,783,869.56"
writing,"1,579,783,874.70","1,579,783,881.38"
writing,"1,579,783,883.44","1,579,783,911.20"
writing,"1,579,783,928.15","1,579,783,947.19"
writing,"1,579,783,964.19","1,579,784,007.92"
writing,"1,579,784,031.04","1,579,784,069.60"
audio,"1,579,784,263.47","1,579,784,273.25"
visual,"1,579,784,366.79","1,579,784,370.39"
writing,"1,579,784,510.21","1,579,784,525.15"
writing,"1,579,784,540.06","1,579,784,617.77"
writing,"1,579,784,621.37","1,579,784,628.05"
writing,"1,579,784,909.34","1,579,784,935.06"
writing,"1,579,784,965.41","1,579,784,992.70"
audio,"1,579,785,340.80","1,579,785,342.88"
writing,"1,579,785,508.45","1,579,785,635.58"
writing,"1,579,785,638.69","1,579,785,922.68"
writing,"1,579,785,940.69","1,579,786,052.86"
writing,"1,579,786,055.44","1,579,786,090.93"
writing,"1,579,786,098.13","1,579,786,111.50"
writing,"1,579,786,121.29","1,579,786,181.47"
writing,"1,579,786,196.40","1,579,786,207.20"
writing,"1,579,786,217.50","1,579,786,233.97"
writing,"1,579,786,255.60","1,579,786,259.72"
writing,"1,579,786,263.33","1,579,786,278.76"
writing,"1,579,786,284.45","1,579,786,339.02"
audio,"1,579,786,339.53","1,579,786,602.14"
writing,"1,579,786,605.75","1,579,786,606.27"
writing,"1,579,786,612.45","1,579,786,721.57"
writing,"1,579,786,735.97","1,579,786,788.97"
writing,"1,579,786,797.20","1,579,786,833.22"
writing,"1,579,786,839.38","1,579,786,853.28"
writing,"1,579,786,858.43","1,579,786,869.75"
writing,"1,579,786,873.35","1,579,786,877.47"
writing,"1,579,786,881.58","1,579,786,883.12"
writing,"1,579,786,889.31","1,579,786,906.28"
writing,"1,579,786,925.30","1,579,786,925.81"
writing,"1,579,786,932.51","1,579,786,936.62"
writing,"1,579,786,953.07","1,579,786,962.85"
writing,"1,579,786,972.12","1,579,786,999.91"
writing,"1,579,787,059.55","1,579,787,067.26"
writing,"1,579,787,070.86","1,579,787,095.04"
writing,"1,579,787,096.58","1,579,787,102.25"
writing,"1,579,787,103.31","1,579,787,116.71"
writing,"1,579,787,120.30","1,579,787,122.37"
writing,"1,579,787,130.06","1,579,787,134.69"
writing,"1,579,787,146.03","1,579,787,151.69"
writing,"1,579,787,153.75","1,579,787,155.29"
writing,"1,579,787,166.61","1,579,787,174.33"
writing,"1,579,787,180.50","1,579,787,225.29"
writing,"1,579,787,229.41","1,579,787,286.54"
writing,"1,579,787,293.23","1,579,787,307.64"
writing,"1,579,787,324.64","1,579,787,345.74"
writing,"1,579,787,352.95","1,579,787,365.81"
writing,"1,579,787,382.78","1,579,787,383.30"
writing,"1,579,787,416.25","1,579,787,443.01"
writing,"1,579,787,453.29","1,579,787,464.63"
writing,"1,579,787,472.35","1,579,787,482.64"
writing,"1,579,787,491.41","1,579,787,514.56"
writing,"1,579,787,519.20","1,579,787,524.35"
writing,"1,579,787,837.32","1,579,787,848.13"
writing,"1,579,787,867.16","1,579,787,964.48"
writing,"1,579,788,478.88","1,579,788,563.76"
writing,"1,579,788,592.04","1,579,788,598.21"
writing,"1,579,788,668.71","1,579,788,870.49"
writing,"1,579,788,888.50","1,579,788,897.24"
writing,"1,579,789,609.25","1,579,789,669.49"
writing,"1,579,793,666.05","1,579,793,692.27"
writing,"1,579,793,701.52","1,579,793,838.80"
writing,"1,579,793,842.39","1,579,794,160.26"
writing,"1,579,794,165.41","1,579,794,325.41"
audio,"1,579,794,326.45","1,579,794,326.96"
writing,"1,579,794,329.02","1,579,794,329.54"
writing,"1,579,794,331.08","1,579,794,417.51"
writing,"1,579,794,453.53","1,579,794,487.46"
writing,"1,579,794,498.26","1,579,794,514.73"
writing,"1,579,794,530.68","1,579,794,595.57"
audio,"1,579,794,597.11","1,579,794,597.62"
writing,"1,579,794,598.14","1,579,794,627.49"
writing,"1,579,794,634.20","1,579,794,671.23"
writing,"1,579,794,673.82","1,579,794,692.34"
writing,"1,579,794,699.05","1,579,794,699.57"
writing,"1,579,794,707.82","1,579,794,719.65"
writing,"1,579,794,722.22","1,579,794,731.49"
writing,"1,579,794,737.14","1,579,794,744.86"
writing,"1,579,794,786.50","1,579,794,819.40"
writing,"1,579,794,827.66","1,579,794,857.51"
writing,"1,579,794,879.10","1,579,794,881.67"
writing,"1,579,794,899.65","1,579,794,904.80"
writing,"1,579,794,911.99","1,579,794,926.92"
writing,"1,579,794,933.09","1,579,794,941.32"
writing,"1,579,794,969.59","1,579,794,982.96"
writing,"1,579,794,996.32","1,579,795,004.56"
writing,"1,579,795,014.31","1,579,795,014.82"
writing,"1,579,795,024.07","1,579,795,026.66"
writing,"1,579,795,051.33","1,579,795,164.05"
writing,"1,579,795,168.68","1,579,795,170.73"
writing,"1,579,795,181.05","1,579,795,185.68"
writing,"1,579,795,197.04","1,579,795,202.18"
writing,"1,579,795,207.83","1,579,795,221.21"
writing,"1,579,795,239.22","1,579,795,248.47"
writing,"1,579,795,253.09","1,579,795,253.60"
writing,"1,579,795,296.33","1,579,795,302.51"
writing,"1,579,795,311.76","1,579,795,312.78"
writing,"1,579,795,321.54","1,579,795,342.64"
writing,"1,579,795,346.24","1,579,795,375.02"
writing,"1,579,795,376.06","1,579,795,377.09"
writing,"1,579,795,392.04","1,579,795,423.45"
writing,"1,579,795,437.87","1,579,795,471.37"
writing,"1,579,795,494.03","1,579,795,515.11"
writing,"1,579,795,518.72","1,579,795,519.76"
writing,"1,579,795,520.78","1,579,795,524.89"
writing,"1,579,795,526.95","1,579,795,527.98"
writing,"1,579,795,549.62","1,579,795,553.74"
writing,"1,579,795,559.41","1,579,795,565.59"
writing,"1,579,795,578.96","1,579,795,580.51"
writing,"1,579,795,582.06","1,579,795,585.15"
writing,"1,579,795,586.72","1,579,795,589.30"
writing,"1,579,795,590.33","1,579,795,595.48"
writing,"1,579,795,597.03","1,579,795,600.63"
audio,"1,579,795,601.67","1,579,795,602.18"
