Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,565,910,419.12","1,565,910,432.14"
writing,"1,565,910,433.71","1,565,910,435.79"
writing,"1,565,911,936.59","1,565,911,937.11"
writing,"1,565,953,174.10","1,565,953,188.20"
writing,"1,565,954,236.48","1,565,954,238.57"
writing,"1,565,955,735.61","1,565,955,757.45"
writing,"1,565,955,758.49","1,565,955,759.53"
writing,"1,565,955,907.07","1,565,955,932.03"
writing,"1,565,955,936.73","1,565,955,937.26"
audio,"1,565,955,937.78","1,565,955,938.83"
writing,"1,565,961,027.62","1,565,961,028.15"
writing,"1,565,963,614.81","1,565,963,615.33"
writing,"1,565,983,005.12","1,565,983,032.78"
writing,"1,565,983,039.61","1,565,983,098.58"
writing,"1,565,983,100.15","1,565,983,120.00"
writing,"1,565,983,126.79","1,565,983,139.84"
writing,"1,565,983,147.68","1,565,983,158.63"
writing,"1,565,983,164.38","1,565,983,183.17"
writing,"1,565,983,225.99","1,565,983,237.48"
writing,"1,565,995,336.01","1,565,995,336.52"
writing,"1,565,995,599.21","1,565,995,600.78"
writing,"1,565,995,668.14","1,565,995,674.88"
writing,"1,565,995,837.51","1,565,995,889.73"
writing,"1,565,995,906.45","1,565,995,935.25"
writing,"1,565,995,947.80","1,565,995,951.98"
writing,"1,565,995,961.38","1,565,995,974.43"
writing,"1,565,995,996.39","1,565,996,037.15"
writing,"1,565,996,079.50","1,565,996,145.34"
writing,"1,565,996,172.63","1,565,996,200.33"
writing,"1,565,996,208.73","1,565,996,259.92"
writing,"1,565,996,287.68","1,565,996,301.26"
writing,"1,565,996,340.45","1,565,996,390.08"
writing,"1,565,996,395.34","1,565,996,401.09"
writing,"1,565,996,404.74","1,565,996,417.29"
writing,"1,565,996,422.02","1,565,996,429.83"
