Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,560,934,586.41","1,560,934,586.93"
writing,"1,560,934,587.97","1,560,934,589.51"
writing,"1,560,934,680.38","1,560,934,680.90"
writing,"1,560,934,807.45","1,560,934,807.96"
writing,"1,560,934,960.84","1,560,934,961.87"
writing,"1,560,935,721.66","1,560,935,722.18"
writing,"1,560,936,053.46","1,560,936,178.48"
writing,"1,560,936,182.12","1,560,936,183.19"
writing,"1,560,936,194.09","1,560,936,194.64"
writing,"1,560,936,303.60","1,560,936,355.72"
writing,"1,560,936,366.04","1,560,936,374.81"
writing,"1,560,936,381.54","1,560,936,426.44"
writing,"1,560,936,483.76","1,560,936,491.51"
writing,"1,560,936,504.93","1,560,936,539.47"
writing,"1,560,936,541.53","1,560,936,574.59"
writing,"1,560,936,577.70","1,560,936,579.76"
writing,"1,560,936,586.50","1,560,936,587.01"
writing,"1,560,936,589.08","1,560,936,594.25"
writing,"1,560,938,417.80","1,560,938,448.27"
writing,"1,560,938,453.44","1,560,938,456.54"
writing,"1,560,938,473.03","1,560,938,495.69"
writing,"1,560,938,496.74","1,560,938,497.25"
writing,"1,560,938,507.05","1,560,938,509.11"
writing,"1,560,938,511.19","1,560,938,634.60"
writing,"1,560,938,652.18","1,560,938,655.80"
writing,"1,560,938,658.91","1,560,938,674.41"
writing,"1,560,938,680.11","1,560,938,697.68"
writing,"1,560,939,030.50","1,560,939,031.02"
audio,"1,560,939,032.06","1,560,939,032.58"
writing,"1,560,941,962.19","1,560,941,963.22"
writing,"1,560,942,103.20","1,560,942,107.33"
writing,"1,560,944,783.61","1,560,944,784.12"
writing,"1,560,944,971.03","1,560,944,971.55"
writing,"1,560,945,116.76","1,560,945,117.28"
writing,"1,560,945,124.00","1,560,945,130.72"
writing,"1,560,945,173.09","1,560,945,173.61"
writing,"1,560,945,379.77","1,560,945,380.29"
writing,"1,560,945,393.74","1,560,945,394.25"
writing,"1,560,946,767.39","1,560,946,768.42"
writing,"1,560,946,790.14","1,560,946,790.66"
writing,"1,560,946,793.24","1,560,946,794.27"
writing,"1,560,946,878.32","1,560,946,878.84"
writing,"1,560,946,881.94","1,560,946,882.45"
writing,"1,560,953,321.42","1,560,953,321.93"
writing,"1,560,953,679.95","1,560,953,680.47"
writing,"1,560,953,684.12","1,560,953,687.22"
writing,"1,560,953,698.59","1,560,953,699.11"
audio,"1,560,956,078.00","1,560,956,079.57"
writing,"1,560,956,315.07","1,560,956,316.11"
writing,"1,560,956,319.78","1,560,956,325.96"
audio,"1,560,956,364.54","1,560,956,365.05"
audio,"1,560,956,500.50","1,560,956,502.05"
writing,"1,560,956,503.08","1,560,956,508.74"
audio,"1,560,956,510.80","1,560,956,514.40"
writing,"1,560,956,555.59","1,560,956,556.13"
writing,"1,560,956,701.19","1,560,956,701.70"
writing,"1,560,956,750.59","1,560,956,751.62"
writing,"1,560,957,085.76","1,560,957,086.28"
writing,"1,560,957,337.13","1,560,957,337.65"
writing,"1,560,957,551.23","1,560,957,551.74"
audio,"1,560,968,030.12","1,560,968,033.73"
writing,"1,560,968,036.32","1,560,968,043.54"
writing,"1,560,968,047.67","1,560,968,048.70"
writing,"1,560,968,116.23","1,560,968,117.26"
writing,"1,560,968,118.85","1,560,968,119.36"
writing,"1,560,968,186.41","1,560,968,186.94"
writing,"1,560,968,195.73","1,560,968,227.69"
writing,"1,560,968,404.56","1,560,968,405.07"
writing,"1,560,968,408.18","1,560,968,408.70"
writing,"1,560,968,439.13","1,560,968,439.65"
writing,"1,560,968,661.00","1,560,968,661.52"
writing,"1,560,968,697.66","1,560,968,698.18"
writing,"1,560,968,720.91","1,560,968,721.94"
writing,"1,560,968,807.05","1,560,968,894.19"
writing,"1,560,969,083.05","1,560,969,113.44"
writing,"1,560,969,693.28","1,560,969,693.79"
writing,"1,560,971,767.80","1,560,971,768.34"
writing,"1,560,971,786.42","1,560,971,786.94"
audio,"1,560,972,248.30","1,560,972,248.81"
writing,"1,560,972,257.07","1,560,972,261.72"
writing,"1,560,972,279.27","1,560,972,279.78"
writing,"1,560,972,764.37","1,560,972,764.88"
writing,"1,560,972,910.42","1,560,972,910.93"
writing,"1,560,972,916.62","1,560,972,917.65"
writing,"1,560,973,118.70","1,560,973,199.17"
writing,"1,560,973,204.85","1,560,973,230.60"
writing,"1,560,973,233.68","1,560,973,280.16"
writing,"1,560,973,360.24","1,560,973,385.48"
writing,"1,560,973,411.78","1,560,973,417.99"
writing,"1,560,973,447.40","1,560,973,447.91"
writing,"1,560,973,541.50","1,560,973,568.39"
