Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,581,152,267.87","1,581,152,268.90"
writing,"1,581,152,408.92","1,581,152,409.44"
writing,"1,581,152,410.47","1,581,152,519.32"
visual,"1,581,152,519.83","1,581,152,520.36"
writing,"1,581,152,520.88","1,581,152,522.95"
writing,"1,581,152,527.60","1,581,152,535.33"
visual,"1,581,155,389.91","1,581,155,474.39"
visual,"1,581,155,631.61","1,581,155,656.37"
visual,"1,581,155,663.10","1,581,155,709.53"
visual,"1,581,197,255.46","1,581,197,256.48"
writing,"1,581,197,257.00","1,581,197,551.80"
writing,"1,581,197,688.66","1,581,198,516.11"
visual,"1,581,198,516.63","1,581,198,517.14"
writing,"1,581,198,517.66","1,581,198,518.18"
writing,"1,581,198,519.73","1,581,198,520.24"
writing,"1,581,198,521.79","1,581,198,525.40"
writing,"1,581,198,526.46","1,581,198,551.70"
visual,"1,581,198,552.21","1,581,198,552.74"
writing,"1,581,198,554.28","1,581,198,554.80"
visual,"1,581,198,565.65","1,581,198,566.17"
writing,"1,581,198,566.69","1,581,198,725.70"
visual,"1,581,198,726.21","1,581,198,726.73"
visual,"1,581,198,745.77","1,581,198,746.28"
writing,"1,581,198,746.80","1,581,198,900.36"
writing,"1,581,198,906.09","1,581,199,408.55"
writing,"1,581,199,552.86","1,581,199,558.01"
visual,"1,581,199,558.53","1,581,199,663.75"
writing,"1,581,199,664.26","1,581,199,666.33"
writing,"1,581,199,822.21","1,581,199,823.76"
writing,"1,581,200,596.35","1,581,200,638.64"
visual,"1,581,200,639.19","1,581,200,639.71"
writing,"1,581,200,640.74","1,581,200,928.07"
writing,"1,581,200,929.12","1,581,200,979.69"
visual,"1,581,200,980.20","1,581,200,980.71"
writing,"1,581,200,982.78","1,581,200,983.81"
writing,"1,581,201,617.30","1,581,201,617.82"
writing,"1,581,201,618.86","1,581,201,619.89"
visual,"1,581,201,620.41","1,581,201,620.92"
writing,"1,581,201,621.44","1,581,201,639.99"
writing,"1,581,201,641.03","1,581,201,641.55"
writing,"1,581,201,645.69","1,581,201,895.88"
writing,"1,581,201,896.92","1,581,201,933.35"
writing,"1,581,201,934.37","1,581,201,935.91"
writing,"1,581,201,937.96","1,581,202,048.32"
writing,"1,581,205,235.68","1,581,205,236.71"
visual,"1,581,205,237.23","1,581,205,237.77"
writing,"1,581,205,238.32","1,581,205,239.35"
writing,"1,581,205,663.94","1,581,205,664.97"
writing,"1,581,205,666.52","1,581,205,667.56"
writing,"1,581,205,716.01","1,581,205,716.53"
writing,"1,581,205,719.12","1,581,205,727.38"
writing,"1,581,205,899.26","1,581,205,908.53"
writing,"1,581,206,410.04","1,581,206,417.77"
visual,"1,581,206,421.92","1,581,206,426.03"
