Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,567,770,682.35","1,567,770,682.86"
writing,"1,567,773,115.04","1,567,773,115.56"
audio,"1,567,776,849.72","1,567,776,852.29"
audio,"1,567,777,093.03","1,567,777,093.55"
audio,"1,567,777,331.20","1,567,777,341.55"
writing,"1,567,777,432.48","1,567,777,433.01"
audio,"1,567,777,459.39","1,567,777,460.43"
audio,"1,567,777,525.55","1,567,777,526.07"
audio,"1,567,777,657.77","1,567,777,658.80"
writing,"1,567,777,659.33","1,567,777,660.37"
writing,"1,567,777,676.38","1,567,777,676.89"
writing,"1,567,782,081.80","1,567,782,097.29"
audio,"1,567,785,132.03","1,567,785,136.18"
writing,"1,567,788,928.15","1,567,788,930.74"
writing,"1,567,800,359.79","1,567,800,367.57"
writing,"1,567,800,400.75","1,567,800,403.87"
audio,"1,567,801,306.98","1,567,801,308.54"
