Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,560,772,898.79","1,560,772,900.85"
writing,"1,560,772,907.61","1,560,772,908.65"
writing,"1,560,772,979.95","1,560,772,980.46"
writing,"1,560,772,992.36","1,560,773,211.97"
writing,"1,560,773,455.70","1,560,773,504.29"
writing,"1,560,773,669.00","1,560,773,669.51"
writing,"1,560,773,753.18","1,560,773,753.70"
writing,"1,560,773,756.86","1,560,773,757.37"
writing,"1,560,773,806.47","1,560,773,806.98"
writing,"1,560,773,823.56","1,560,773,831.32"
writing,"1,560,773,857.69","1,560,773,863.38"
writing,"1,560,773,864.94","1,560,773,867.00"
writing,"1,560,773,911.00","1,560,773,912.03"
writing,"1,560,773,942.55","1,560,773,943.06"
writing,"1,560,774,032.93","1,560,774,033.96"
writing,"1,560,774,177.50","1,560,774,178.02"
writing,"1,560,775,981.65","1,560,775,985.77"
writing,"1,560,776,355.41","1,560,776,362.64"
writing,"1,560,776,388.44","1,560,776,389.48"
writing,"1,560,776,399.86","1,560,776,400.38"
writing,"1,560,776,478.34","1,560,776,479.38"
writing,"1,560,777,979.99","1,560,777,980.50"
writing,"1,560,779,125.70","1,560,779,126.22"
writing,"1,560,779,553.98","1,560,779,554.51"
writing,"1,560,779,585.55","1,560,779,586.07"
writing,"1,560,779,653.33","1,560,779,653.85"
writing,"1,560,779,679.22","1,560,779,679.73"
writing,"1,560,779,758.38","1,560,779,758.89"
writing,"1,560,780,080.05","1,560,780,080.57"
writing,"1,560,780,118.32","1,560,780,118.85"
writing,"1,560,780,136.94","1,560,780,139.01"
writing,"1,560,780,149.38","1,560,780,149.90"
writing,"1,560,780,172.16","1,560,780,172.67"
writing,"1,560,780,346.97","1,560,780,347.49"
writing,"1,560,782,357.68","1,560,782,358.19"
writing,"1,560,782,402.18","1,560,782,402.69"
writing,"1,560,782,406.86","1,560,782,407.39"
writing,"1,560,782,430.12","1,560,782,433.74"
writing,"1,560,782,438.94","1,560,782,439.46"
writing,"1,560,782,440.54","1,560,782,442.61"
writing,"1,560,782,543.89","1,560,782,544.42"
audio,"1,560,782,602.38","1,560,782,603.41"
writing,"1,560,783,220.28","1,560,783,220.79"
writing,"1,560,783,224.41","1,560,783,230.62"
writing,"1,560,783,263.73","1,560,783,268.39"
writing,"1,560,783,331.00","1,560,783,343.42"
writing,"1,560,783,362.57","1,560,783,402.94"
writing,"1,560,783,414.34","1,560,783,421.07"
writing,"1,560,783,436.08","1,560,783,438.15"
writing,"1,560,783,443.85","1,560,783,452.14"
writing,"1,560,783,489.93","1,560,783,490.96"
writing,"1,560,783,494.59","1,560,783,510.10"
writing,"1,560,783,515.81","1,560,783,553.61"
writing,"1,560,783,557.75","1,560,783,558.27"
writing,"1,560,783,563.45","1,560,783,580.53"
writing,"1,560,783,593.99","1,560,783,596.58"
writing,"1,560,783,600.71","1,560,783,601.23"
writing,"1,560,783,603.86","1,560,783,623.00"
writing,"1,560,783,646.82","1,560,783,665.45"
writing,"1,560,783,670.12","1,560,783,681.50"
writing,"1,560,783,686.19","1,560,783,697.05"
writing,"1,560,783,700.67","1,560,783,702.74"
writing,"1,560,783,709.98","1,560,783,716.19"
writing,"1,560,783,720.33","1,560,783,721.89"
writing,"1,560,783,732.75","1,560,783,737.42"
writing,"1,560,783,751.43","1,560,783,751.95"
writing,"1,560,783,761.79","1,560,783,762.83"
writing,"1,560,783,766.99","1,560,783,776.32"
writing,"1,560,783,798.07","1,560,783,798.58"
writing,"1,560,783,827.58","1,560,783,829.65"
writing,"1,560,783,840.54","1,560,783,845.21"
writing,"1,560,783,846.78","1,560,783,849.88"
writing,"1,560,783,877.33","1,560,783,921.33"
writing,"1,560,783,943.63","1,560,783,954.50"
writing,"1,560,784,121.15","1,560,784,123.22"
writing,"1,560,784,125.30","1,560,784,131.51"
writing,"1,560,784,134.62","1,560,784,141.36"
writing,"1,560,784,145.02","1,560,784,146.05"
writing,"1,560,784,147.61","1,560,784,166.77"
writing,"1,560,784,170.91","1,560,784,175.57"
writing,"1,560,784,176.61","1,560,784,177.13"
writing,"1,560,784,178.68","1,560,784,183.36"
writing,"1,560,784,205.12","1,560,784,275.51"
writing,"1,560,784,288.42","1,560,784,294.10"
writing,"1,560,784,295.66","1,560,784,302.89"
writing,"1,560,784,310.64","1,560,784,311.16"
writing,"1,560,784,313.77","1,560,784,325.17"
writing,"1,560,784,330.86","1,560,784,347.94"
writing,"1,560,784,356.22","1,560,784,360.87"
writing,"1,560,784,362.43","1,560,784,369.16"
writing,"1,560,784,377.96","1,560,784,391.40"
writing,"1,560,784,398.64","1,560,784,402.78"
writing,"1,560,784,554.94","1,560,784,560.63"
audio,"1,560,784,577.19","1,560,784,577.70"
writing,"1,560,784,795.22","1,560,784,822.12"
writing,"1,560,784,834.54","1,560,784,861.96"
writing,"1,560,784,867.65","1,560,784,876.45"
writing,"1,560,784,886.84","1,560,784,894.60"
writing,"1,560,784,933.93","1,560,784,962.39"
writing,"1,560,784,967.05","1,560,784,967.57"
writing,"1,560,784,973.78","1,560,784,981.55"
writing,"1,560,784,983.62","1,560,784,996.55"
writing,"1,560,785,005.33","1,560,785,018.26"
writing,"1,560,785,022.93","1,560,785,025.00"
writing,"1,560,785,070.54","1,560,785,072.09"
writing,"1,560,785,100.61","1,560,785,143.07"
writing,"1,560,785,179.37","1,560,785,214.05"
writing,"1,560,785,215.61","1,560,785,236.84"
writing,"1,560,785,264.79","1,560,785,271.00"
writing,"1,560,785,322.26","1,560,785,355.39"
writing,"1,560,785,371.41","1,560,785,428.91"
writing,"1,560,785,434.08","1,560,785,459.46"
writing,"1,560,785,469.82","1,560,785,531.42"
writing,"1,560,785,545.91","1,560,785,588.88"
writing,"1,560,785,600.77","1,560,785,602.32"
writing,"1,560,785,603.38","1,560,785,614.76"
writing,"1,560,785,616.35","1,560,785,626.16"
writing,"1,560,785,638.61","1,560,785,667.60"
writing,"1,560,785,672.78","1,560,785,675.37"
writing,"1,560,785,699.77","1,560,785,703.40"
writing,"1,560,785,706.51","1,560,785,737.05"
writing,"1,560,785,745.84","1,560,785,749.47"
writing,"1,560,785,754.15","1,560,785,769.16"
