Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,577,539,864.16","1,577,539,966.28"
writing,"1,577,539,967.31","1,577,539,967.83"
writing,"1,577,540,122.95","1,577,540,125.02"
writing,"1,577,540,126.07","1,577,540,193.22"
writing,"1,577,540,198.91","1,577,540,207.17"
writing,"1,577,540,210.26","1,577,540,213.87"
writing,"1,577,540,303.56","1,577,540,307.17"
writing,"1,577,540,344.23","1,577,540,399.45"
writing,"1,577,540,401.51","1,577,540,403.06"
writing,"1,577,540,409.23","1,577,540,417.48"
writing,"1,577,540,425.74","1,577,540,492.91"
writing,"1,577,540,621.30","1,577,540,621.81"
writing,"1,577,540,639.85","1,577,540,661.56"
writing,"1,577,540,669.32","1,577,540,689.48"
writing,"1,577,540,701.35","1,577,540,707.56"
writing,"1,577,540,740.55","1,577,540,745.20"
writing,"1,577,540,750.36","1,577,540,772.04"
writing,"1,577,540,791.57","1,577,540,842.63"
writing,"1,577,540,854.98","1,577,540,894.75"
audio,"1,577,546,296.24","1,577,546,899.81"
audio,"1,577,547,567.18","1,577,548,170.40"
audio,"1,577,548,648.92","1,577,548,653.57"
audio,"1,577,548,657.18","1,577,550,463.71"
audio,"1,577,550,670.13","1,577,551,269.65"
audio,"1,577,551,357.00","1,577,551,362.17"
audio,"1,577,551,650.20","1,577,552,942.93"
audio,"1,577,553,430.13","1,577,553,557.28"
audio,"1,577,553,562.96","1,577,554,160.63"
audio,"1,577,555,047.17","1,577,555,051.92"
writing,"1,577,558,412.29","1,577,558,413.84"
audio,"1,577,558,625.10","1,577,558,625.61"
writing,"1,577,558,626.13","1,577,558,630.27"
writing,"1,577,559,978.71","1,577,559,979.77"
audio,"1,577,559,980.29","1,577,559,980.82"
writing,"1,577,564,832.39","1,577,564,861.81"
writing,"1,577,565,356.45","1,577,565,545.15"
writing,"1,577,565,546.18","1,577,565,546.70"
writing,"1,577,566,820.79","1,577,566,852.34"
writing,"1,577,566,875.65","1,577,566,930.91"
audio,"1,577,566,931.44","1,577,566,949.43"
writing,"1,577,566,949.97","1,577,567,025.46"
writing,"1,577,567,026.50","1,577,567,027.01"
audio,"1,577,567,096.82","1,577,567,097.86"
writing,"1,577,567,332.01","1,577,567,492.41"
writing,"1,577,567,733.24","1,577,567,753.40"
writing,"1,577,569,449.55","1,577,570,048.28"
writing,"1,577,570,164.40","1,577,570,194.88"
writing,"1,577,570,312.74","1,577,570,581.85"
writing,"1,577,570,918.08","1,577,571,030.63"
writing,"1,577,571,031.67","1,577,571,032.18"
writing,"1,577,571,178.41","1,577,571,398.58"
audio,"1,577,571,399.10","1,577,571,400.13"
audio,"1,577,571,779.03","1,577,571,780.06"
writing,"1,577,571,780.58","1,577,572,654.96"
audio,"1,577,572,655.48","1,577,572,656.52"
writing,"1,577,576,810.00","1,577,576,814.13"
