Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,568,711,619.75","1,568,711,621.30"
writing,"1,568,711,626.98","1,568,711,629.56"
writing,"1,568,712,391.87","1,568,712,392.39"
audio,"1,568,712,395.51","1,568,712,396.55"
writing,"1,568,712,397.07","1,568,712,411.03"
writing,"1,568,726,140.26","1,568,726,148.55"
writing,"1,568,726,151.64","1,568,726,223.20"
writing,"1,568,726,229.43","1,568,726,266.29"
writing,"1,568,726,273.55","1,568,726,275.62"
writing,"1,568,726,288.60","1,568,726,289.12"
writing,"1,568,726,300.58","1,568,726,311.98"
writing,"1,568,726,323.95","1,568,726,334.85"
writing,"1,568,726,338.48","1,568,726,351.43"
writing,"1,568,726,356.09","1,568,726,357.16"
writing,"1,568,726,372.21","1,568,726,382.08"
writing,"1,568,726,387.28","1,568,726,402.31"
writing,"1,568,726,414.23","1,568,726,422.01"
writing,"1,568,726,424.63","1,568,726,427.21"
writing,"1,568,726,688.31","1,568,726,690.91"
writing,"1,568,728,029.16","1,568,728,038.00"
writing,"1,568,728,324.69","1,568,728,336.12"
writing,"1,568,728,338.73","1,568,728,344.98"
writing,"1,568,728,417.18","1,568,728,422.89"
writing,"1,568,728,554.83","1,568,728,557.97"
writing,"1,568,728,784.42","1,568,728,793.76"
writing,"1,568,728,795.83","1,568,728,798.95"
writing,"1,568,728,809.34","1,568,728,820.75"
writing,"1,568,728,831.17","1,568,728,853.47"
writing,"1,568,730,016.15","1,568,730,018.30"
writing,"1,568,730,201.35","1,568,730,223.70"
audio,"1,568,737,087.15","1,568,737,089.74"
audio,"1,568,737,379.37","1,568,737,380.93"
audio,"1,568,737,489.65","1,568,737,491.73"
audio,"1,568,738,037.84","1,568,738,044.60"
writing,"1,568,738,045.13","1,568,738,045.65"
writing,"1,568,738,224.89","1,568,738,318.09"
writing,"1,568,738,329.56","1,568,738,330.60"
writing,"1,568,738,335.86","1,568,738,354.10"
writing,"1,568,738,364.53","1,568,738,377.03"
writing,"1,568,738,378.63","1,568,738,384.86"
writing,"1,568,738,389.03","1,568,738,394.75"
writing,"1,568,738,423.94","1,568,738,425.50"
writing,"1,568,738,437.49","1,568,738,453.64"
writing,"1,568,738,458.32","1,568,738,492.20"
writing,"1,568,738,496.35","1,568,738,500.00"
writing,"1,568,738,504.17","1,568,738,509.37"
writing,"1,568,738,513.55","1,568,738,560.97"
writing,"1,568,738,566.17","1,568,738,578.69"
writing,"1,568,738,583.36","1,568,738,587.54"
writing,"1,568,738,591.18","1,568,738,594.82"
writing,"1,568,738,597.44","1,568,738,600.07"
writing,"1,568,738,604.24","1,568,738,608.94"
writing,"1,568,738,616.25","1,568,738,619.90"
writing,"1,568,738,620.99","1,568,738,626.76"
writing,"1,568,738,631.44","1,568,738,636.69"
writing,"1,568,738,642.42","1,568,738,643.46"
writing,"1,568,738,649.75","1,568,738,659.13"
writing,"1,568,738,662.77","1,568,738,665.38"
audio,"1,568,738,685.20","1,568,738,686.24"
writing,"1,568,738,687.28","1,568,738,693.01"
audio,"1,568,738,700.82","1,568,738,701.36"
writing,"1,568,738,703.45","1,568,738,708.66"
audio,"1,568,738,712.35","1,568,738,712.88"
writing,"1,568,738,713.40","1,568,738,729.56"
audio,"1,568,738,733.75","1,568,738,734.79"
writing,"1,568,738,735.87","1,568,738,746.29"
writing,"1,568,738,757.74","1,568,738,767.12"
audio,"1,568,738,772.85","1,568,738,773.90"
writing,"1,568,738,774.94","1,568,738,782.76"
writing,"1,568,738,800.54","1,568,738,819.29"
writing,"1,568,738,852.64","1,568,738,858.93"
