Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,578,616,595.89","1,578,616,597.43"
writing,"1,578,616,622.66","1,578,616,623.69"
writing,"1,578,618,169.53","1,578,618,170.04"
audio,"1,578,618,177.28","1,578,618,177.79"
writing,"1,578,618,185.53","1,578,618,231.34"
writing,"1,578,625,485.55","1,578,625,486.07"
writing,"1,578,663,800.04","1,578,663,880.50"
writing,"1,578,663,888.25","1,578,664,164.49"
writing,"1,578,664,188.67","1,578,664,198.49"
writing,"1,578,664,202.94","1,578,664,278.84"
writing,"1,578,664,288.33","1,578,664,305.27"
writing,"1,578,664,309.20","1,578,664,316.31"
writing,"1,578,664,325.20","1,578,664,338.86"
writing,"1,578,664,353.95","1,578,664,370.91"
writing,"1,578,664,379.82","1,578,664,384.76"
writing,"1,578,664,408.48","1,578,664,432.05"
writing,"1,578,664,444.84","1,578,664,465.06"
writing,"1,578,664,470.10","1,578,664,479.42"
writing,"1,578,664,485.04","1,578,664,496.55"
writing,"1,578,664,506.55","1,578,664,512.02"
writing,"1,578,664,531.91","1,578,664,533.01"
writing,"1,578,664,534.70","1,578,664,540.18"
writing,"1,578,664,565.53","1,578,664,570.47"
writing,"1,578,664,577.14","1,578,664,588.07"
writing,"1,578,664,596.39","1,578,664,600.78"
writing,"1,578,664,620.09","1,578,664,629.40"
writing,"1,578,664,632.79","1,578,664,635.01"
writing,"1,578,664,643.83","1,578,664,657.51"
writing,"1,578,664,661.97","1,578,664,666.89"
writing,"1,578,664,670.29","1,578,664,672.51"
writing,"1,578,664,678.76","1,578,664,698.42"
writing,"1,578,664,702.31","1,578,664,708.88"
writing,"1,578,664,711.79","1,578,664,728.28"
writing,"1,578,664,733.83","1,578,664,737.66"
writing,"1,578,664,742.15","1,578,664,746.53"
writing,"1,578,664,756.60","1,578,664,763.16"
writing,"1,578,664,781.96","1,578,664,785.82"
writing,"1,578,664,835.90","1,578,664,851.21"
writing,"1,578,664,856.35","1,578,664,878.22"
writing,"1,578,664,912.49","1,578,664,922.39"
writing,"1,578,664,933.46","1,578,664,941.13"
writing,"1,578,664,945.57","1,578,664,957.63"
writing,"1,578,664,966.50","1,578,664,971.46"
writing,"1,578,664,978.22","1,578,664,996.27"
writing,"1,578,665,012.95","1,578,665,017.38"
writing,"1,578,665,019.31","1,578,665,022.64"
writing,"1,578,665,029.83","1,578,665,039.10"
writing,"1,578,665,070.43","1,578,665,092.83"
writing,"1,578,665,097.88","1,578,665,098.46"
writing,"1,578,665,102.87","1,578,665,110.53"
writing,"1,578,665,131.50","1,578,665,134.32"
writing,"1,578,665,144.29","1,578,665,159.06"
writing,"1,578,665,193.46","1,578,665,233.86"
writing,"1,578,665,240.48","1,578,665,245.43"
writing,"1,578,665,251.53","1,578,665,259.76"
writing,"1,578,665,272.00","1,578,665,404.71"
writing,"1,578,665,425.16","1,578,665,467.87"
writing,"1,578,665,471.74","1,578,665,500.69"
writing,"1,578,665,504.10","1,578,665,505.82"
writing,"1,578,665,508.63","1,578,665,515.73"
writing,"1,578,665,520.75","1,578,665,522.43"
writing,"1,578,665,528.02","1,578,665,586.98"
writing,"1,578,665,618.39","1,578,665,632.66"
writing,"1,578,665,641.97","1,578,665,654.55"
writing,"1,578,665,668.87","1,578,665,673.30"
writing,"1,578,665,682.18","1,578,665,692.64"
writing,"1,578,665,731.57","1,578,665,740.83"
writing,"1,578,665,745.40","1,578,665,750.32"
writing,"1,578,665,752.03","1,578,665,771.79"
writing,"1,578,665,782.23","1,578,665,811.22"
writing,"1,578,665,814.70","1,578,665,891.86"
writing,"1,578,665,896.33","1,578,665,919.79"
writing,"1,578,665,923.84","1,578,665,940.23"
writing,"1,578,665,952.40","1,578,665,979.16"
writing,"1,578,665,989.11","1,578,665,991.33"
writing,"1,578,665,998.03","1,578,666,009.01"
writing,"1,578,666,017.83","1,578,666,028.75"
writing,"1,578,666,031.56","1,578,666,033.29"
writing,"1,578,666,049.81","1,578,666,050.35"
writing,"1,578,666,052.13","1,578,666,063.08"
writing,"1,578,666,067.53","1,578,666,077.37"
writing,"1,578,666,087.39","1,578,666,103.77"
writing,"1,578,666,111.04","1,578,666,126.43"
writing,"1,578,666,129.83","1,578,666,135.87"
writing,"1,578,666,143.63","1,578,666,151.85"
writing,"1,578,666,156.33","1,578,666,161.81"
writing,"1,578,666,172.97","1,578,666,180.11"
