Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,576,749,846.00","1,576,749,852.15"
writing,"1,576,749,875.72","1,576,749,892.64"
writing,"1,576,749,909.54","1,576,749,941.33"
writing,"1,576,749,950.04","1,576,749,956.70"
writing,"1,576,749,966.46","1,576,749,976.20"
writing,"1,576,749,979.79","1,576,749,981.83"
writing,"1,576,750,017.69","1,576,750,030.51"
writing,"1,576,750,032.56","1,576,750,034.61"
writing,"1,576,750,036.67","1,576,750,038.71"
writing,"1,576,750,071.54","1,576,750,072.57"
writing,"1,576,750,146.07","1,576,750,152.76"
writing,"1,576,750,337.28","1,576,750,349.61"
writing,"1,576,750,356.81","1,576,750,358.85"
writing,"1,576,750,368.11","1,576,750,371.71"
writing,"1,576,750,385.55","1,576,750,386.06"
writing,"1,576,750,777.37","1,576,750,777.88"
writing,"1,576,750,919.19","1,576,750,919.70"
writing,"1,576,750,922.79","1,576,750,923.31"
writing,"1,576,750,987.56","1,576,750,988.07"
writing,"1,576,751,098.21","1,576,751,103.87"
writing,"1,576,751,112.05","1,576,751,112.57"
writing,"1,576,751,138.80","1,576,751,139.31"
writing,"1,576,751,159.34","1,576,751,159.86"
writing,"1,576,751,298.68","1,576,751,299.19"
writing,"1,576,751,504.38","1,576,751,504.89"
writing,"1,576,752,008.69","1,576,752,009.20"
writing,"1,576,752,285.53","1,576,752,286.04"
audio,"1,576,752,331.88","1,576,752,332.39"
writing,"1,576,752,332.91","1,576,752,347.84"
audio,"1,576,752,361.22","1,576,752,361.74"
writing,"1,576,752,362.26","1,576,752,367.93"
audio,"1,576,752,377.73","1,576,752,378.24"
writing,"1,576,752,378.76","1,576,752,385.97"
writing,"1,576,752,396.76","1,576,752,400.37"
writing,"1,576,752,418.36","1,576,752,422.99"
writing,"1,576,752,430.69","1,576,752,435.33"
writing,"1,576,752,451.24","1,576,752,456.89"
writing,"1,576,752,461.01","1,576,752,463.57"
writing,"1,576,752,472.82","1,576,752,476.42"
writing,"1,576,752,479.02","1,576,752,513.49"
writing,"1,576,752,520.67","1,576,752,527.88"
writing,"1,576,752,537.62","1,576,752,538.65"
writing,"1,576,752,574.17","1,576,752,594.26"
writing,"1,576,752,596.31","1,576,752,602.97"
writing,"1,576,752,606.10","1,576,752,608.14"
writing,"1,576,752,677.05","1,576,752,689.41"
writing,"1,576,752,717.15","1,576,752,726.42"
writing,"1,576,752,761.35","1,576,752,763.92"
writing,"1,576,752,807.17","1,576,752,817.99"
writing,"1,576,752,827.77","1,576,752,831.89"
writing,"1,576,752,968.26","1,576,752,968.77"
writing,"1,576,753,007.41","1,576,753,007.92"
writing,"1,576,753,184.40","1,576,753,184.91"
writing,"1,576,753,222.48","1,576,753,222.99"
writing,"1,576,753,378.47","1,576,753,379.50"
writing,"1,576,753,471.60","1,576,753,476.22"
writing,"1,576,753,482.39","1,576,753,511.73"
writing,"1,576,753,523.03","1,576,753,523.55"
writing,"1,576,753,526.62","1,576,753,534.87"
writing,"1,576,753,536.93","1,576,753,538.47"
writing,"1,576,753,542.06","1,576,753,543.08"
writing,"1,576,753,554.42","1,576,753,561.12"
writing,"1,576,753,563.69","1,576,753,569.32"
writing,"1,576,753,571.38","1,576,753,578.04"
writing,"1,576,753,583.68","1,576,753,584.70"
writing,"1,576,753,620.24","1,576,753,623.33"
writing,"1,576,753,625.90","1,576,753,627.44"
writing,"1,576,753,632.06","1,576,753,634.10"
writing,"1,576,753,642.84","1,576,753,658.79"
writing,"1,576,753,661.87","1,576,753,667.50"
writing,"1,576,753,669.05","1,576,753,670.59"
writing,"1,576,753,673.16","1,576,753,676.22"
writing,"1,576,753,678.79","1,576,753,683.39"
writing,"1,576,753,684.94","1,576,753,699.85"
writing,"1,576,753,701.90","1,576,753,707.02"
writing,"1,576,753,709.60","1,576,753,713.68"
writing,"1,576,753,726.01","1,576,753,730.13"
writing,"1,576,753,739.38","1,576,753,748.14"
writing,"1,576,753,764.57","1,576,753,773.31"
writing,"1,576,753,779.45","1,576,753,784.09"
writing,"1,576,753,786.16","1,576,753,787.18"
writing,"1,576,753,792.83","1,576,753,796.43"
writing,"1,576,753,816.99","1,576,753,832.95"
writing,"1,576,753,860.68","1,576,753,869.44"
writing,"1,576,753,872.02","1,576,753,873.06"
writing,"1,576,753,880.77","1,576,753,884.89"
writing,"1,576,753,890.54","1,576,753,893.10"
writing,"1,576,753,895.16","1,576,753,896.71"
writing,"1,576,753,898.28","1,576,753,900.33"
writing,"1,576,753,901.88","1,576,753,910.08"
writing,"1,576,753,925.51","1,576,753,926.03"
writing,"1,576,753,932.76","1,576,753,933.28"
writing,"1,576,753,944.08","1,576,753,973.44"
writing,"1,576,753,983.19","1,576,753,988.34"
writing,"1,576,754,005.81","1,576,754,007.87"
writing,"1,576,754,010.97","1,576,754,020.75"
writing,"1,576,754,029.49","1,576,754,039.78"
audio,"1,576,754,063.97","1,576,754,068.61"
writing,"1,576,754,084.02","1,576,754,100.50"
writing,"1,576,754,133.43","1,576,754,133.94"
writing,"1,576,754,136.05","1,576,754,149.43"
writing,"1,576,754,151.51","1,576,754,152.03"
writing,"1,576,754,165.39","1,576,754,169.01"
writing,"1,576,754,264.27","1,576,754,266.85"
writing,"1,576,754,315.67","1,576,754,325.96"
writing,"1,576,754,344.49","1,576,754,382.02"
writing,"1,576,754,387.18","1,576,754,387.69"
writing,"1,576,757,428.78","1,576,757,510.70"
writing,"1,576,760,337.45","1,576,760,337.97"
writing,"1,576,761,331.69","1,576,761,332.20"
writing,"1,576,761,456.70","1,576,761,457.21"
writing,"1,576,761,463.93","1,576,761,464.45"
writing,"1,576,761,640.01","1,576,761,640.52"
writing,"1,576,762,027.21","1,576,762,028.25"
writing,"1,576,763,288.03","1,576,763,288.55"
writing,"1,576,764,927.71","1,576,764,928.23"
writing,"1,576,765,654.21","1,576,765,654.73"
writing,"1,576,766,213.12","1,576,766,213.64"
writing,"1,576,766,843.93","1,576,766,927.45"
audio,"1,576,766,928.48","1,576,766,929.00"
writing,"1,576,766,941.88","1,576,766,946.01"
writing,"1,576,766,951.71","1,576,766,978.04"
audio,"1,576,767,002.28","1,576,767,002.79"
writing,"1,576,767,008.46","1,576,767,011.55"
writing,"1,576,767,406.42","1,576,767,406.94"
writing,"1,576,769,368.56","1,576,769,369.08"
audio,"1,576,770,158.75","1,576,770,159.27"
writing,"1,576,772,374.99","1,576,772,375.50"
audio,"1,576,772,377.05","1,576,772,386.34"
audio,"1,576,772,503.71","1,576,772,511.43"
visual,"1,576,772,975.45","1,576,772,995.05"
visual,"1,576,773,019.28","1,576,773,022.37"
audio,"1,576,773,114.51","1,576,773,119.67"
audio,"1,576,774,848.89","1,576,774,849.41"
visual,"1,576,774,852.00","1,576,774,858.70"
audio,"1,576,775,032.92","1,576,775,039.62"
writing,"1,576,775,040.14","1,576,775,041.69"
visual,"1,576,776,095.49","1,576,776,345.99"
writing,"1,576,776,629.77","1,576,776,630.29"
visual,"1,576,776,631.84","1,576,776,829.64"
visual,"1,576,776,866.81","1,576,776,998.15"
audio,"1,576,777,282.85","1,576,777,283.36"
visual,"1,576,777,283.88","1,576,777,297.30"
visual,"1,576,777,301.95","1,576,777,380.88"
visual,"1,576,777,608.51","1,576,777,614.19"
visual,"1,576,778,499.27","1,576,778,508.05"
writing,"1,576,778,673.90","1,576,778,674.42"
writing,"1,576,778,799.98","1,576,778,850.11"
writing,"1,576,778,905.41","1,576,778,905.92"
writing,"1,576,778,933.29","1,576,778,933.81"
writing,"1,576,779,096.87","1,576,779,110.32"
writing,"1,576,779,113.43","1,576,779,120.16"
writing,"1,576,779,123.25","1,576,779,130.47"
writing,"1,576,779,132.03","1,576,779,136.14"
writing,"1,576,779,175.84","1,576,779,177.91"
writing,"1,576,779,235.71","1,576,779,311.05"
writing,"1,576,779,316.71","1,576,779,384.36"
writing,"1,576,779,386.95","1,576,779,393.12"
writing,"1,576,779,395.18","1,576,779,402.39"
writing,"1,576,779,405.49","1,576,779,410.63"
writing,"1,576,779,413.21","1,576,779,416.29"
writing,"1,576,779,429.18","1,576,779,431.77"
writing,"1,576,779,435.37","1,576,779,442.61"
writing,"1,576,779,445.19","1,576,779,447.80"
writing,"1,576,779,456.57","1,576,779,462.25"
writing,"1,576,779,467.91","1,576,779,473.08"
writing,"1,576,779,475.66","1,576,779,477.20"
writing,"1,576,779,486.49","1,576,779,490.62"
writing,"1,576,779,510.77","1,576,779,512.32"
writing,"1,576,779,518.54","1,576,779,522.67"
writing,"1,576,779,524.74","1,576,779,529.36"
writing,"1,576,779,537.07","1,576,779,542.77"
writing,"1,576,779,545.35","1,576,779,549.45"
writing,"1,576,779,552.58","1,576,779,565.46"
writing,"1,576,779,568.56","1,576,779,585.05"
writing,"1,576,779,590.72","1,576,779,644.97"
writing,"1,576,781,708.20","1,576,781,708.73"
writing,"1,576,783,072.80","1,576,783,093.44"
writing,"1,576,783,140.36","1,576,783,142.42"
writing,"1,576,783,270.84","1,576,783,285.29"
writing,"1,576,783,332.76","1,576,783,340.50"
writing,"1,576,783,373.00","1,576,783,375.07"
writing,"1,576,783,542.30","1,576,783,542.81"
writing,"1,576,784,651.25","1,576,784,651.76"
writing,"1,576,784,799.38","1,576,784,799.90"
writing,"1,576,785,497.14","1,576,785,497.66"
writing,"1,576,787,587.84","1,576,787,588.35"
writing,"1,576,787,891.98","1,576,787,892.50"
audio,"1,576,787,896.62","1,576,787,897.14"
visual,"1,576,787,897.66","1,576,787,904.35"
