Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,560,585,359.49","1,560,585,360.01"
writing,"1,560,586,106.46","1,560,586,107.00"
writing,"1,560,586,254.36","1,560,586,254.88"
writing,"1,560,586,397.83","1,560,586,465.43"
writing,"1,560,586,475.74","1,560,586,603.73"
writing,"1,560,586,606.83","1,560,586,623.86"
writing,"1,560,586,648.64","1,560,586,764.80"
writing,"1,560,586,799.90","1,560,586,800.42"
writing,"1,560,586,957.33","1,560,586,957.84"
writing,"1,560,587,386.93","1,560,587,387.44"
writing,"1,560,587,403.96","1,560,587,404.51"
writing,"1,560,588,364.47","1,560,588,370.15"
writing,"1,560,588,442.94","1,560,588,443.46"
writing,"1,560,588,838.96","1,560,588,839.47"
writing,"1,560,588,842.06","1,560,588,891.69"
audio,"1,560,589,021.04","1,560,589,027.28"
writing,"1,560,589,067.27","1,560,589,071.42"
writing,"1,560,589,871.87","1,560,589,876.53"
writing,"1,560,589,881.17","1,560,589,892.05"
audio,"1,560,590,509.22","1,560,590,524.20"
audio,"1,560,590,526.31","1,560,590,539.72"
writing,"1,560,590,542.31","1,560,590,544.37"
audio,"1,560,590,670.47","1,560,590,674.09"
audio,"1,560,590,686.48","1,560,590,694.76"
writing,"1,560,590,700.99","1,560,590,701.51"
audio,"1,560,590,807.45","1,560,590,810.56"
writing,"1,560,590,857.60","1,560,590,860.18"
audio,"1,560,590,860.71","1,560,590,862.31"
audio,"1,560,590,872.14","1,560,590,874.74"
writing,"1,560,590,941.40","1,560,590,943.98"
writing,"1,560,591,033.85","1,560,591,034.36"
writing,"1,560,591,086.50","1,560,591,134.53"
writing,"1,560,591,139.16","1,560,591,139.68"
writing,"1,560,591,153.11","1,560,591,177.88"
writing,"1,560,591,179.43","1,560,591,184.05"
writing,"1,560,591,192.36","1,560,591,208.38"
writing,"1,560,591,234.19","1,560,591,245.55"
writing,"1,560,591,247.63","1,560,591,253.83"
writing,"1,560,591,263.65","1,560,591,284.31"
writing,"1,560,591,290.52","1,560,591,299.82"
writing,"1,560,591,304.47","1,560,591,312.74"
writing,"1,560,591,344.26","1,560,591,349.94"
writing,"1,560,591,397.49","1,560,591,429.53"
writing,"1,560,591,451.76","1,560,591,456.93"
writing,"1,560,591,475.01","1,560,591,476.06"
writing,"1,560,591,509.66","1,560,591,514.32"
writing,"1,560,591,525.16","1,560,591,539.64"
writing,"1,560,591,592.36","1,560,591,599.07"
writing,"1,560,591,657.48","1,560,591,672.47"
writing,"1,560,591,678.68","1,560,591,686.95"
writing,"1,560,591,699.87","1,560,591,723.65"
writing,"1,560,591,733.50","1,560,591,738.16"
writing,"1,560,591,762.97","1,560,591,776.93"
writing,"1,560,591,979.51","1,560,591,998.64"
writing,"1,560,592,008.46","1,560,592,011.56"
writing,"1,560,592,019.83","1,560,592,027.06"
writing,"1,560,592,074.63","1,560,592,080.83"
writing,"1,560,592,098.92","1,560,592,132.00"
writing,"1,560,592,366.79","1,560,592,378.16"
writing,"1,560,592,392.64","1,560,592,397.29"
writing,"1,560,592,399.88","1,560,592,401.43"
writing,"1,560,592,415.41","1,560,592,420.06"
writing,"1,560,592,425.23","1,560,592,429.37"
writing,"1,560,592,430.93","1,560,592,438.17"
writing,"1,560,592,440.76","1,560,592,443.34"
writing,"1,560,592,447.47","1,560,592,448.51"
writing,"1,560,592,481.61","1,560,592,487.82"
writing,"1,560,592,489.37","1,560,592,493.50"
writing,"1,560,592,495.07","1,560,592,497.66"
writing,"1,560,592,509.55","1,560,592,518.33"
writing,"1,560,592,541.59","1,560,592,542.11"
audio,"1,560,592,543.66","1,560,592,603.14"
writing,"1,560,592,604.69","1,560,592,613.99"
writing,"1,560,592,633.13","1,560,592,676.53"
writing,"1,560,592,680.15","1,560,592,685.31"
writing,"1,560,592,693.06","1,560,592,705.46"
writing,"1,560,592,727.18","1,560,592,728.72"
writing,"1,560,592,733.89","1,560,592,746.81"
writing,"1,560,592,751.48","1,560,592,754.06"
writing,"1,560,592,836.80","1,560,592,894.19"
writing,"1,560,592,916.41","1,560,592,921.59"
writing,"1,560,592,923.66","1,560,592,959.84"
writing,"1,560,592,967.08","1,560,592,975.35"
writing,"1,560,592,989.83","1,560,593,003.27"
writing,"1,560,593,007.40","1,560,593,016.70"
writing,"1,560,593,019.84","1,560,593,022.42"
writing,"1,560,593,026.56","1,560,593,049.82"
writing,"1,560,593,052.93","1,560,593,067.93"
writing,"1,560,593,078.78","1,560,593,082.92"
writing,"1,560,593,086.02","1,560,593,149.09"
writing,"1,560,593,152.20","1,560,593,152.72"
writing,"1,560,593,153.78","1,560,593,164.64"
writing,"1,560,593,171.36","1,560,593,214.79"
writing,"1,560,593,217.89","1,560,593,218.92"
writing,"1,560,593,290.80","1,560,593,325.44"
writing,"1,560,593,338.88","1,560,593,349.74"
writing,"1,560,593,361.64","1,560,593,416.45"
writing,"1,560,594,892.01","1,560,594,909.08"
writing,"1,560,594,933.90","1,560,594,934.94"
writing,"1,560,594,940.64","1,560,594,947.87"
writing,"1,560,594,949.43","1,560,594,997.51"
writing,"1,560,595,000.09","1,560,595,004.75"
writing,"1,560,595,006.83","1,560,595,069.37"
writing,"1,560,595,086.95","1,560,595,106.60"
writing,"1,560,595,109.75","1,560,595,135.59"
writing,"1,560,595,165.05","1,560,595,171.77"
writing,"1,560,595,173.84","1,560,595,204.33"
writing,"1,560,595,316.98","1,560,595,343.35"
writing,"1,560,595,388.84","1,560,595,430.71"
writing,"1,560,595,443.12","1,560,595,459.15"
writing,"1,560,595,565.65","1,560,595,583.73"
writing,"1,560,595,590.40","1,560,595,603.82"
writing,"1,560,595,609.50","1,560,595,668.40"
writing,"1,560,595,690.12","1,560,595,692.70"
writing,"1,560,595,695.29","1,560,595,699.43"
writing,"1,560,595,703.58","1,560,595,717.53"
writing,"1,560,595,726.84","1,560,595,741.83"
writing,"1,560,595,756.30","1,560,595,765.61"
writing,"1,560,595,782.20","1,560,595,785.31"
writing,"1,560,595,800.80","1,560,595,838.94"
writing,"1,560,596,330.35","1,560,596,333.96"
visual,"1,560,596,508.22","1,560,596,522.70"
visual,"1,560,596,525.81","1,560,596,535.61"
visual,"1,560,596,538.19","1,560,596,551.11"
visual,"1,560,596,553.70","1,560,596,555.25"
visual,"1,560,596,556.80","1,560,596,597.69"
audio,"1,560,596,599.24","1,560,596,599.76"
writing,"1,560,596,604.42","1,560,596,617.34"
writing,"1,560,596,717.14","1,560,596,717.66"
writing,"1,560,596,720.24","1,560,596,919.40"
writing,"1,560,597,006.82","1,560,597,051.83"
writing,"1,560,597,058.56","1,560,597,084.98"
writing,"1,560,597,117.61","1,560,597,129.52"
writing,"1,560,597,157.48","1,560,597,157.99"
writing,"1,560,597,229.89","1,560,597,230.41"
writing,"1,560,597,260.45","1,560,597,299.27"
writing,"1,560,597,332.87","1,560,597,342.70"
writing,"1,560,597,347.36","1,560,597,349.95"
writing,"1,560,597,357.20","1,560,597,359.79"
writing,"1,560,597,363.41","1,560,597,363.93"
writing,"1,560,597,372.19","1,560,597,374.26"
writing,"1,560,597,395.51","1,560,597,417.26"
writing,"1,560,597,444.20","1,560,597,456.11"
writing,"1,560,597,460.25","1,560,597,462.32"
writing,"1,560,597,697.20","1,560,597,791.41"
writing,"1,560,597,800.21","1,560,597,809.53"
writing,"1,560,613,271.18","1,560,613,289.81"
writing,"1,560,613,294.46","1,560,613,302.22"
writing,"1,560,613,367.94","1,560,613,371.56"
writing,"1,560,613,396.92","1,560,613,445.04"
writing,"1,560,613,648.23","1,560,613,673.08"
writing,"1,560,613,712.96","1,560,613,745.06"
writing,"1,560,613,747.13","1,560,613,747.64"
writing,"1,560,613,749.71","1,560,613,750.75"
writing,"1,560,613,752.86","1,560,613,759.59"
writing,"1,560,613,783.92","1,560,613,785.99"
writing,"1,560,613,864.21","1,560,613,913.89"
writing,"1,560,613,918.04","1,560,613,943.90"
writing,"1,560,613,964.60","1,560,614,016.36"
writing,"1,560,614,049.02","1,560,614,050.58"
writing,"1,560,614,196.98","1,560,614,198.53"
writing,"1,560,614,200.61","1,560,614,252.37"
writing,"1,560,614,264.78","1,560,614,266.85"
writing,"1,560,614,269.45","1,560,614,270.49"
writing,"1,560,614,278.27","1,560,614,286.55"
writing,"1,560,614,688.45","1,560,614,698.80"
writing,"1,560,614,723.66","1,560,614,740.73"
writing,"1,560,614,749.03","1,560,614,759.38"
writing,"1,560,614,855.11","1,560,614,856.16"
writing,"1,560,614,857.71","1,560,614,858.75"
writing,"1,560,614,866.52","1,560,614,873.25"
writing,"1,560,614,884.13","1,560,614,905.35"
writing,"1,560,615,330.89","1,560,615,430.65"
writing,"1,560,615,448.82","1,560,615,465.90"
writing,"1,560,615,469.01","1,560,615,471.08"
writing,"1,560,615,549.79","1,560,615,576.70"
writing,"1,560,615,592.25","1,560,615,601.05"
writing,"1,560,615,619.69","1,560,615,620.73"
writing,"1,560,615,625.91","1,560,615,631.08"
writing,"1,560,615,633.67","1,560,615,637.30"
writing,"1,560,615,641.45","1,560,615,647.15"
writing,"1,560,615,652.84","1,560,615,654.91"
writing,"1,560,615,658.54","1,560,615,664.76"
writing,"1,560,615,695.85","1,560,615,706.73"
writing,"1,560,615,708.29","1,560,615,725.38"
writing,"1,560,615,741.44","1,560,615,742.47"
writing,"1,560,615,754.38","1,560,615,754.90"
writing,"1,560,615,755.93","1,560,615,763.18"
writing,"1,560,615,767.84","1,560,615,775.10"
writing,"1,560,615,876.44","1,560,615,877.48"
writing,"1,560,615,903.91","1,560,615,915.30"
writing,"1,560,615,917.90","1,560,615,924.11"
writing,"1,560,615,962.92","1,560,615,963.43"
writing,"1,560,615,983.11","1,560,616,003.31"
writing,"1,560,616,027.65","1,560,616,030.24"
writing,"1,560,616,142.02","1,560,616,143.58"
writing,"1,560,616,162.21","1,560,616,169.98"
writing,"1,560,616,174.64","1,560,616,362.93"
writing,"1,560,616,370.20","1,560,616,380.04"
writing,"1,560,616,381.60","1,560,616,444.74"
