Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,569,576,992.31","1,569,576,992.83"
audio,"1,569,578,434.96","1,569,578,443.29"
audio,"1,569,578,817.66","1,569,578,821.83"
audio,"1,569,578,867.66","1,569,578,880.15"
audio,"1,569,579,123.99","1,569,579,166.70"
writing,"1,569,586,501.22","1,569,586,501.75"
writing,"1,569,586,584.47","1,569,586,586.64"
writing,"1,569,588,274.97","1,569,588,275.49"
audio,"1,569,588,276.02","1,569,588,290.62"
audio,"1,569,588,339.20","1,569,588,348.08"
writing,"1,569,588,348.61","1,569,588,350.21"
audio,"1,569,588,350.74","1,569,588,353.35"
audio,"1,569,588,432.83","1,569,588,434.40"
audio,"1,569,588,502.92","1,569,588,517.57"
audio,"1,569,588,519.14","1,569,588,521.25"
writing,"1,569,588,631.60","1,569,588,632.12"
audio,"1,569,588,632.64","1,569,588,635.25"
audio,"1,569,588,674.49","1,569,588,678.69"
audio,"1,569,588,685.48","1,569,588,687.57"
audio,"1,569,588,882.14","1,569,588,888.43"
writing,"1,569,588,891.57","1,569,588,892.09"
audio,"1,569,588,963.33","1,569,588,981.62"
audio,"1,569,588,986.87","1,569,588,988.43"
audio,"1,569,589,033.94","1,569,589,034.98"
audio,"1,569,589,095.78","1,569,589,096.83"
audio,"1,569,589,152.23","1,569,589,153.28"
writing,"1,569,592,789.21","1,569,592,791.83"
writing,"1,569,592,877.56","1,569,592,881.73"
writing,"1,569,592,891.67","1,569,592,938.19"
writing,"1,569,602,420.15","1,569,602,422.24"
writing,"1,569,605,500.12","1,569,605,504.30"
writing,"1,569,608,663.23","1,569,608,739.53"
writing,"1,569,622,165.96","1,569,622,166.49"
audio,"1,569,622,167.01","1,569,622,170.68"
writing,"1,569,622,171.23","1,569,622,176.99"
audio,"1,569,622,177.52","1,569,622,207.37"
audio,"1,569,622,214.71","1,569,622,229.36"
writing,"1,569,622,235.13","1,569,622,289.59"
audio,"1,569,622,290.12","1,569,622,291.69"
writing,"1,569,622,292.22","1,569,622,428.35"
writing,"1,569,622,436.31","1,569,622,452.55"
audio,"1,569,622,453.07","1,569,622,468.77"
audio,"1,569,624,970.26","1,569,624,972.38"
writing,"1,569,624,972.91","1,569,625,026.85"
