Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
audio,"1,562,466,399.66","1,562,466,400.18"
writing,"1,562,466,400.70","1,562,466,411.03"
audio,"1,562,466,411.54","1,562,466,412.06"
audio,"1,562,507,620.73","1,562,507,625.89"
writing,"1,562,507,626.41","1,562,507,734.52"
audio,"1,562,507,735.04","1,562,507,735.55"
audio,"1,562,507,908.72","1,562,507,927.34"
audio,"1,562,510,087.42","1,562,510,091.03"
audio,"1,562,510,408.67","1,562,510,409.70"
writing,"1,562,517,776.11","1,562,517,785.47"
audio,"1,562,517,785.99","1,562,517,786.51"
audio,"1,562,520,249.35","1,562,520,250.91"
writing,"1,562,520,251.44","1,562,520,257.67"
writing,"1,562,520,410.44","1,562,520,416.15"
audio,"1,562,527,648.43","1,562,527,648.95"
writing,"1,562,527,649.47","1,562,527,650.51"
writing,"1,562,529,411.97","1,562,529,412.50"
writing,"1,562,529,818.06","1,562,529,818.58"
writing,"1,562,529,916.33","1,562,529,916.85"
audio,"1,562,529,975.73","1,562,529,976.24"
writing,"1,562,530,327.03","1,562,530,327.56"
writing,"1,562,531,017.01","1,562,531,018.57"
writing,"1,562,531,024.77","1,562,531,025.30"
audio,"1,562,539,986.19","1,562,539,987.73"
audio,"1,562,539,990.46","1,562,539,992.54"
audio,"1,562,539,994.14","1,562,539,996.21"
