Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,559,794,773.42","1,559,794,783.21"
audio,"1,559,798,707.57","1,559,798,708.09"
audio,"1,559,799,145.65","1,559,799,146.16"
writing,"1,559,815,988.08","1,559,815,988.60"
audio,"1,559,815,989.12","1,559,815,991.19"
writing,"1,559,831,779.61","1,559,831,782.73"
writing,"1,559,831,786.89","1,559,831,804.05"
writing,"1,559,831,805.61","1,559,831,832.13"
writing,"1,559,834,987.54","1,559,835,001.59"
writing,"1,559,835,586.04","1,559,835,586.56"
writing,"1,559,836,098.69","1,559,836,101.31"
writing,"1,559,836,134.66","1,559,836,138.82"
writing,"1,559,836,141.95","1,559,836,145.08"
writing,"1,559,836,147.68","1,559,836,243.43"
writing,"1,559,836,273.10","1,559,836,304.32"
writing,"1,559,836,306.92","1,559,836,333.98"
writing,"1,559,836,336.58","1,559,836,357.92"
writing,"1,559,836,360.51","1,559,836,369.88"
writing,"1,559,836,371.96","1,559,836,438.58"
writing,"1,559,836,440.17","1,559,836,444.90"
writing,"1,559,836,692.42","1,559,836,723.13"
writing,"1,559,836,725.20","1,559,836,751.24"
writing,"1,559,836,764.26","1,559,836,766.86"
audio,"1,559,836,808.99","1,559,836,812.61"
audio,"1,559,836,818.85","1,559,836,833.91"
writing,"1,559,836,834.44","1,559,836,834.96"
audio,"1,559,836,889.55","1,559,836,895.26"
writing,"1,559,836,895.80","1,559,836,968.60"
writing,"1,559,836,971.19","1,559,836,980.03"
audio,"1,559,837,011.74","1,559,837,017.46"
writing,"1,559,837,017.98","1,559,837,018.50"
writing,"1,559,837,020.11","1,559,837,047.16"
writing,"1,559,837,049.24","1,559,837,052.37"
writing,"1,559,837,167.32","1,559,837,188.11"
writing,"1,559,837,296.77","1,559,837,297.29"
writing,"1,559,837,304.06","1,559,837,332.15"
writing,"1,559,837,335.26","1,559,837,345.67"
writing,"1,559,837,348.27","1,559,837,349.82"
writing,"1,559,837,356.61","1,559,837,369.61"
writing,"1,559,837,370.66","1,559,837,374.82"
writing,"1,559,837,431.01","1,559,837,452.86"
writing,"1,559,837,584.99","1,559,837,623.00"
writing,"1,559,837,680.70","1,559,837,694.25"
writing,"1,559,837,697.39","1,559,837,754.63"
writing,"1,559,837,759.83","1,559,837,760.87"
writing,"1,559,837,780.13","1,559,837,800.94"
writing,"1,559,837,804.58","1,559,837,821.24"
writing,"1,559,837,823.83","1,559,837,834.77"
writing,"1,559,837,835.81","1,559,837,845.70"
writing,"1,559,837,846.74","1,559,837,874.83"
writing,"1,559,837,878.47","1,559,837,898.23"
audio,"1,559,837,899.83","1,559,837,901.38"
writing,"1,559,837,929.46","1,559,837,948.72"
writing,"1,559,837,981.49","1,559,838,002.81"
writing,"1,559,838,009.05","1,559,838,028.29"
writing,"1,559,838,031.41","1,559,838,060.54"
writing,"1,559,838,062.62","1,559,838,097.49"
writing,"1,559,838,099.57","1,559,838,186.48"
writing,"1,559,838,188.56","1,559,838,206.78"
writing,"1,559,838,208.86","1,559,838,240.59"
writing,"1,559,838,242.68","1,559,838,316.07"
writing,"1,559,838,318.66","1,559,838,325.42"
writing,"1,559,838,328.02","1,559,838,330.10"
writing,"1,559,838,332.71","1,559,838,343.63"
writing,"1,559,838,556.50","1,559,838,566.39"
writing,"1,559,838,568.47","1,559,838,587.73"
writing,"1,559,838,601.25","1,559,838,610.09"
writing,"1,559,838,612.18","1,559,838,625.72"
writing,"1,559,838,627.27","1,559,838,636.65"
writing,"1,559,838,638.72","1,559,838,678.79"
writing,"1,559,838,682.95","1,559,838,693.37"
writing,"1,559,838,697.52","1,559,838,703.25"
writing,"1,559,838,706.39","1,559,838,716.81"
writing,"1,559,838,721.49","1,559,838,723.57"
writing,"1,559,838,727.20","1,559,838,729.28"
writing,"1,559,838,732.39","1,559,838,748.01"
writing,"1,559,838,753.22","1,559,838,754.26"
writing,"1,559,838,757.37","1,559,838,816.72"
writing,"1,559,838,819.84","1,559,838,826.09"
writing,"1,559,838,833.87","1,559,838,854.17"
writing,"1,559,838,861.45","1,559,838,868.73"
writing,"1,559,838,887.46","1,559,838,889.54"
writing,"1,559,838,896.83","1,559,838,946.79"
