Pool,Total Begin (Unix Time),Total End (Unix Time)
writing,"1,556,319,635.94","1,556,319,727.09"
audio,"1,556,319,635.94","1,556,319,727.09"
writing,"1,556,356,782.51","1,556,388,099.55"
audio,"1,556,356,782.51","1,556,388,099.55"
visual,"1,556,357,863.32","1,556,362,513.60"
visual,"1,556,365,539.16","1,556,365,619.47"
writing,"1,556,388,111.10","1,556,388,983.78"
audio,"1,556,388,111.10","1,556,388,983.78"
writing,"1,556,389,079.15","1,556,390,200.09"
audio,"1,556,389,079.15","1,556,390,200.09"
writing,"1,556,391,577.85","1,556,396,933.10"
audio,"1,556,391,577.85","1,556,396,933.10"
writing,"1,556,397,311.97","1,556,406,018.01"
audio,"1,556,397,311.97","1,556,406,018.01"
