Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
audio,"1,575,336,328.57","1,575,336,334.26"
audio,"1,575,336,446.76","1,575,336,447.79"
writing,"1,575,336,453.49","1,575,336,465.38"
writing,"1,575,337,548.59","1,575,337,677.17"
writing,"1,575,337,944.19","1,575,337,978.28"
writing,"1,575,337,979.84","1,575,337,981.39"
writing,"1,575,337,993.27","1,575,337,993.79"
writing,"1,575,338,767.47","1,575,338,831.96"
writing,"1,575,338,834.55","1,575,338,931.63"
writing,"1,575,338,937.87","1,575,338,959.04"
writing,"1,575,339,109.35","1,575,339,188.92"
writing,"1,575,382,822.90","1,575,382,823.94"
audio,"1,575,382,825.48","1,575,382,826.51"
writing,"1,575,382,925.69","1,575,383,070.93"
writing,"1,575,383,083.31","1,575,383,092.61"
writing,"1,575,383,103.46","1,575,383,130.33"
writing,"1,575,387,336.88","1,575,387,347.23"
writing,"1,575,394,740.96","1,575,394,876.23"
writing,"1,575,394,877.78","1,575,394,935.10"
writing,"1,575,394,936.14","1,575,394,975.87"
writing,"1,575,394,978.46","1,575,395,121.99"
writing,"1,575,395,127.68","1,575,395,709.45"
writing,"1,575,395,736.37","1,575,395,752.93"
writing,"1,575,395,756.04","1,575,395,844.52"
writing,"1,575,395,847.64","1,575,395,861.10"
writing,"1,575,395,871.48","1,575,396,000.09"
writing,"1,575,396,001.63","1,575,396,088.45"
writing,"1,575,396,345.82","1,575,396,346.34"
writing,"1,575,396,522.00","1,575,396,558.19"
writing,"1,575,396,560.77","1,575,396,573.70"
writing,"1,575,396,577.36","1,575,396,589.77"
writing,"1,575,396,593.43","1,575,396,973.69"
writing,"1,575,396,974.72","1,575,397,562.59"
writing,"1,575,397,566.21","1,575,397,569.82"
writing,"1,575,397,572.41","1,575,397,759.37"
writing,"1,575,397,762.98","1,575,397,768.15"
writing,"1,575,397,783.64","1,575,397,815.12"
writing,"1,575,397,821.85","1,575,397,823.40"
writing,"1,575,397,869.88","1,575,397,901.90"
writing,"1,575,397,906.55","1,575,397,943.76"
writing,"1,575,397,946.86","1,575,397,989.23"
writing,"1,575,398,015.04","1,575,398,027.97"
writing,"1,575,398,037.79","1,575,398,040.37"
writing,"1,575,398,041.93","1,575,398,045.54"
writing,"1,575,398,047.09","1,575,398,095.13"
writing,"1,575,398,097.72","1,575,398,113.74"
writing,"1,575,398,133.91","1,575,398,187.66"
writing,"1,575,398,190.26","1,575,398,196.48"
writing,"1,575,398,213.06","1,575,398,231.67"
writing,"1,575,398,275.61","1,575,398,293.18"
writing,"1,575,398,299.91","1,575,398,320.07"
writing,"1,575,398,347.97","1,575,398,371.72"
writing,"1,575,398,375.86","1,575,398,404.78"
writing,"1,575,398,407.88","1,575,398,410.47"
writing,"1,575,398,415.12","1,575,398,417.19"
writing,"1,575,398,427.00","1,575,398,445.07"
writing,"1,575,398,448.69","1,575,398,519.45"
writing,"1,575,398,521.00","1,575,398,586.07"
writing,"1,575,398,590.76","1,575,398,595.41"
writing,"1,575,398,617.14","1,575,398,708.04"
writing,"1,575,398,712.71","1,575,398,764.36"
writing,"1,575,398,778.31","1,575,398,797.45"
writing,"1,575,398,800.56","1,575,398,803.14"
writing,"1,575,398,806.76","1,575,398,816.57"
audio,"1,575,398,818.12","1,575,398,821.75"
writing,"1,575,398,822.26","1,575,398,827.94"
writing,"1,575,398,831.04","1,575,398,834.14"
writing,"1,575,398,835.70","1,575,398,848.10"
writing,"1,575,398,853.27","1,575,398,855.34"
writing,"1,575,398,857.92","1,575,398,871.36"
writing,"1,575,398,874.98","1,575,398,896.67"
writing,"1,575,398,898.74","1,575,398,899.26"
writing,"1,575,399,340.92","1,575,399,371.96"
writing,"1,575,399,403.03","1,575,399,414.93"
writing,"1,575,399,986.49","1,575,400,044.47"
writing,"1,575,400,095.16","1,575,400,109.13"
writing,"1,575,400,131.89","1,575,400,140.16"
writing,"1,575,400,150.52","1,575,400,153.11"
writing,"1,575,400,241.06","1,575,400,342.48"
writing,"1,575,400,364.21","1,575,400,413.37"
writing,"1,575,400,425.82","1,575,400,434.09"
writing,"1,575,400,439.79","1,575,400,465.12"
writing,"1,575,400,468.22","1,575,400,476.49"
writing,"1,575,400,477.52","1,575,400,478.55"
writing,"1,575,400,481.14","1,575,400,486.83"
writing,"1,575,400,494.09","1,575,400,501.32"
writing,"1,575,400,503.94","1,575,400,512.72"
writing,"1,575,400,527.73","1,575,400,536.50"
writing,"1,575,400,540.64","1,575,400,547.36"
writing,"1,575,400,564.94","1,575,400,775.45"
writing,"1,575,400,781.13","1,575,400,784.24"
writing,"1,575,400,787.34","1,575,400,834.93"
writing,"1,575,400,838.02","1,575,400,853.53"
writing,"1,575,400,854.57","1,575,400,859.72"
writing,"1,575,400,862.82","1,575,400,870.58"
writing,"1,575,400,872.13","1,575,400,917.11"
writing,"1,575,400,920.22","1,575,400,922.29"
writing,"1,575,400,923.32","1,575,400,938.26"
writing,"1,575,400,940.32","1,575,400,944.41"
writing,"1,575,400,945.44","1,575,401,002.77"
writing,"1,575,401,005.88","1,575,401,014.68"
writing,"1,575,401,015.71","1,575,401,029.66"
writing,"1,575,401,032.25","1,575,401,041.56"
writing,"1,575,401,045.18","1,575,401,049.84"
writing,"1,575,401,064.32","1,575,401,128.43"
writing,"1,575,401,132.05","1,575,401,178.14"
writing,"1,575,401,372.45","1,575,401,420.03"
writing,"1,575,401,427.79","1,575,401,436.58"
writing,"1,575,401,471.79","1,575,401,541.15"
writing,"1,575,401,542.19","1,575,401,544.78"
writing,"1,575,401,553.59","1,575,401,569.61"
writing,"1,575,401,575.82","1,575,401,582.03"
writing,"1,575,401,606.35","1,575,401,606.86"
writing,"1,575,401,617.28","1,575,401,678.34"
writing,"1,575,401,680.42","1,575,401,680.94"
writing,"1,575,401,683.52","1,575,401,784.43"
writing,"1,575,401,785.98","1,575,401,791.67"
writing,"1,575,401,808.23","1,575,401,810.82"
writing,"1,575,401,812.37","1,575,401,842.88"
writing,"1,575,401,854.80","1,575,401,859.98"
writing,"1,575,401,865.67","1,575,401,921.56"
writing,"1,575,401,934.50","1,575,402,006.46"
writing,"1,575,402,007.49","1,575,402,261.50"
writing,"1,575,402,307.01","1,575,402,386.03"
writing,"1,575,402,387.07","1,575,402,432.51"
writing,"1,575,402,434.07","1,575,402,499.71"
writing,"1,575,402,502.29","1,575,402,524.51"
writing,"1,575,402,539.49","1,575,402,542.07"
writing,"1,575,402,652.03","1,575,402,719.66"
writing,"1,575,402,749.66","1,575,402,806.41"
writing,"1,575,402,810.54","1,575,402,812.63"
writing,"1,575,402,814.18","1,575,402,857.03"
writing,"1,575,402,861.16","1,575,402,869.95"
writing,"1,575,402,872.01","1,575,402,881.83"
writing,"1,575,402,887.00","1,575,402,928.35"
writing,"1,575,402,958.28","1,575,403,094.65"
writing,"1,575,403,105.53","1,575,403,139.61"
writing,"1,575,403,143.75","1,575,403,247.05"
writing,"1,575,404,720.43","1,575,404,733.35"
writing,"1,575,404,819.59","1,575,404,902.22"
writing,"1,575,404,936.84","1,575,404,937.35"
writing,"1,575,404,938.91","1,575,404,976.64"
writing,"1,575,404,983.87","1,575,405,158.31"
writing,"1,575,405,172.79","1,575,405,219.81"
writing,"1,575,405,221.36","1,575,405,237.38"
writing,"1,575,405,251.86","1,575,405,301.52"
audio,"1,575,405,302.56","1,575,405,309.30"
writing,"1,575,405,309.82","1,575,405,375.07"
writing,"1,575,405,407.18","1,575,405,534.23"
writing,"1,575,405,543.01","1,575,405,564.18"
writing,"1,575,405,568.33","1,575,405,569.88"
writing,"1,575,405,618.36","1,575,405,623.01"
writing,"1,575,405,677.76","1,575,405,680.87"
writing,"1,575,407,185.86","1,575,407,759.97"
