Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,569,313,725.14","1,569,313,767.82"
writing,"1,569,313,777.79","1,569,313,778.31"
writing,"1,569,314,711.82","1,569,314,772.68"
writing,"1,569,314,783.10","1,569,314,852.29"
writing,"1,569,314,858.03","1,569,314,891.83"
writing,"1,569,314,897.03","1,569,314,909.52"
audio,"1,569,315,398.23","1,569,315,399.79"
audio,"1,569,315,407.10","1,569,315,408.66"
audio,"1,569,315,417.03","1,569,315,418.07"
audio,"1,569,316,000.63","1,569,316,003.75"
audio,"1,569,316,086.05","1,569,316,087.10"
writing,"1,569,316,432.82","1,569,316,433.34"
audio,"1,569,316,433.86","1,569,316,435.43"
writing,"1,569,317,452.75","1,569,317,453.27"
audio,"1,569,317,453.79","1,569,317,472.57"
writing,"1,569,317,826.99","1,569,317,827.51"
audio,"1,569,317,828.05","1,569,317,833.27"
audio,"1,569,318,900.58","1,569,318,901.62"
writing,"1,569,323,326.76","1,569,323,327.28"
writing,"1,569,327,525.95","1,569,328,124.54"
writing,"1,569,330,425.03","1,569,330,426.11"
writing,"1,569,333,859.71","1,569,333,860.25"
writing,"1,569,334,607.30","1,569,334,607.83"
audio,"1,569,334,608.35","1,569,334,609.40"
writing,"1,569,335,394.41","1,569,335,395.46"
writing,"1,569,335,408.59","1,569,335,419.61"
writing,"1,569,350,092.87","1,569,350,160.50"
writing,"1,569,350,167.31","1,569,350,200.87"
writing,"1,569,350,206.64","1,569,350,342.04"
writing,"1,569,350,348.33","1,569,350,386.09"
writing,"1,569,350,392.91","1,569,350,474.25"
writing,"1,569,350,480.02","1,569,350,541.94"
writing,"1,569,350,548.23","1,569,350,570.24"
writing,"1,569,350,579.16","1,569,350,614.32"
writing,"1,569,350,626.90","1,569,350,637.92"
writing,"1,569,350,650.01","1,569,350,850.34"
writing,"1,569,350,862.42","1,569,350,958.41"
writing,"1,569,350,970.46","1,569,350,985.16"
writing,"1,569,351,002.50","1,569,351,021.40"
writing,"1,569,351,022.98","1,569,351,041.36"
writing,"1,569,351,051.84","1,569,351,059.71"
writing,"1,569,352,698.60","1,569,352,699.13"
writing,"1,569,352,701.76","1,569,352,728.03"
writing,"1,569,355,840.29","1,569,355,858.24"
writing,"1,569,355,860.87","1,569,355,883.96"
writing,"1,569,355,899.73","1,569,355,930.72"
writing,"1,569,355,938.05","1,569,355,939.10"
writing,"1,569,355,940.15","1,569,355,943.28"
writing,"1,569,356,009.94","1,569,356,012.04"
writing,"1,569,357,510.61","1,569,357,526.96"
writing,"1,569,358,549.29","1,569,358,598.32"
writing,"1,569,358,607.29","1,569,358,608.34"
writing,"1,569,359,289.36","1,569,359,292.02"
writing,"1,569,359,298.90","1,569,359,330.55"
writing,"1,569,363,838.98","1,569,363,854.78"
writing,"1,569,363,900.63","1,569,363,902.21"
writing,"1,569,363,914.87","1,569,363,915.40"
writing,"1,569,363,917.51","1,569,363,921.19"
writing,"1,569,363,924.35","1,569,363,942.83"
writing,"1,569,364,008.15","1,569,364,015.00"
writing,"1,569,364,018.69","1,569,364,021.33"
writing,"1,569,364,052.97","1,569,364,053.50"
writing,"1,569,364,151.56","1,569,364,177.92"
writing,"1,569,364,186.36","1,569,364,280.23"
writing,"1,569,364,282.87","1,569,364,311.30"
audio,"1,569,364,311.83","1,569,364,333.45"
writing,"1,569,364,333.98","1,569,364,334.50"
writing,"1,569,364,337.20","1,569,364,361.94"
writing,"1,569,364,464.16","1,569,364,470.49"
audio,"1,569,364,474.73","1,569,364,476.86"
writing,"1,569,364,477.39","1,569,364,481.07"
writing,"1,569,364,496.36","1,569,364,517.44"
writing,"1,569,364,520.08","1,569,364,531.68"
writing,"1,569,364,535.40","1,569,364,536.98"
writing,"1,569,364,549.65","1,569,364,564.43"
writing,"1,569,364,567.07","1,569,364,569.18"
writing,"1,569,364,579.73","1,569,364,602.41"
writing,"1,569,364,607.68","1,569,364,614.54"
writing,"1,569,364,957.11","1,569,365,016.65"
writing,"1,569,365,018.23","1,569,365,037.72"
writing,"1,569,365,077.22","1,569,365,196.82"
writing,"1,569,365,197.92","1,569,365,236.38"
writing,"1,569,365,264.31","1,569,365,265.37"
writing,"1,569,365,286.48","1,569,365,299.15"
writing,"1,569,365,302.87","1,569,365,303.92"
writing,"1,569,365,313.93","1,569,365,339.24"
writing,"1,569,365,354.55","1,569,365,523.64"
writing,"1,569,365,534.72","1,569,365,546.83"
