Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,562,886,739.20","1,562,886,739.73"
writing,"1,562,886,824.47","1,562,886,825.00"
writing,"1,562,886,957.84","1,562,886,958.36"
writing,"1,562,887,092.17","1,562,887,092.68"
audio,"1,562,887,095.27","1,562,887,095.80"
writing,"1,562,887,096.33","1,562,887,120.09"
writing,"1,562,887,165.09","1,562,887,231.67"
writing,"1,562,887,246.09","1,562,887,275.99"
writing,"1,562,887,290.95","1,562,887,309.04"
writing,"1,562,887,321.43","1,562,887,321.95"
writing,"1,562,887,459.66","1,562,887,460.18"
writing,"1,562,887,592.28","1,562,887,592.79"
writing,"1,562,888,126.01","1,562,888,126.52"
writing,"1,562,888,176.05","1,562,888,177.07"
writing,"1,562,888,204.43","1,562,888,206.50"
writing,"1,562,888,370.40","1,562,888,370.92"
writing,"1,562,888,375.06","1,562,888,375.58"
writing,"1,562,888,529.05","1,562,888,529.57"
writing,"1,562,889,150.45","1,562,889,150.97"
writing,"1,562,889,300.12","1,562,889,300.65"
writing,"1,562,889,429.75","1,562,889,430.26"
writing,"1,562,889,445.26","1,562,889,445.77"
writing,"1,562,889,581.09","1,562,889,619.38"
writing,"1,562,889,648.37","1,562,889,651.98"
writing,"1,562,889,667.98","1,562,889,725.28"
writing,"1,562,889,747.47","1,562,889,774.83"
writing,"1,562,889,788.77","1,562,889,819.77"
writing,"1,562,889,830.62","1,562,889,874.67"
writing,"1,562,889,889.12","1,562,889,891.71"
writing,"1,562,889,894.82","1,562,889,932.58"
writing,"1,562,889,940.37","1,562,889,954.86"
writing,"1,562,889,959.01","1,562,889,964.70"
writing,"1,562,889,976.15","1,562,889,983.91"
writing,"1,562,889,990.67","1,562,890,001.53"
writing,"1,562,890,012.42","1,562,890,033.61"
audio,"1,562,890,064.05","1,562,890,065.08"
visual,"1,562,893,136.66","1,562,893,191.88"
audio,"1,562,907,598.46","1,562,907,600.01"
audio,"1,562,909,199.59","1,562,909,209.85"
audio,"1,562,909,221.72","1,562,909,225.32"
audio,"1,562,909,380.74","1,562,909,384.86"
audio,"1,562,950,147.54","1,562,950,149.61"
writing,"1,562,951,235.82","1,562,951,247.16"
writing,"1,562,951,367.73","1,562,951,368.25"
audio,"1,562,951,368.77","1,562,951,372.40"
audio,"1,562,952,251.91","1,562,952,253.97"
writing,"1,562,952,265.36","1,562,952,307.31"
writing,"1,562,952,317.14","1,562,952,320.77"
writing,"1,562,952,332.68","1,562,952,346.14"
writing,"1,562,952,358.57","1,562,952,359.09"
writing,"1,562,952,379.31","1,562,952,394.84"
writing,"1,562,952,397.44","1,562,952,438.88"
writing,"1,562,952,464.27","1,562,952,488.10"
writing,"1,562,952,489.13","1,562,952,501.04"
writing,"1,562,952,508.81","1,562,952,554.89"
writing,"1,562,952,568.87","1,562,952,597.85"
writing,"1,562,952,641.35","1,562,952,715.43"
writing,"1,562,952,808.14","1,562,952,814.88"
writing,"1,562,952,821.09","1,562,952,822.64"
writing,"1,562,953,307.05","1,562,953,307.57"
writing,"1,562,953,372.91","1,562,953,373.95"
writing,"1,562,953,375.51","1,562,953,388.99"
writing,"1,562,953,393.16","1,562,953,398.35"
writing,"1,562,953,411.31","1,562,953,418.57"
writing,"1,562,953,436.71","1,562,953,469.39"
writing,"1,562,953,475.08","1,562,953,495.86"
writing,"1,562,954,044.16","1,562,954,070.10"
writing,"1,562,954,075.29","1,562,954,077.37"
writing,"1,562,954,083.07","1,562,954,083.59"
writing,"1,562,954,587.31","1,562,954,595.09"
writing,"1,562,954,620.47","1,562,954,637.05"
writing,"1,562,954,653.13","1,562,954,655.73"
writing,"1,562,954,701.32","1,562,954,701.84"
writing,"1,562,954,704.44","1,562,954,711.18"
writing,"1,562,954,764.55","1,562,954,766.62"
writing,"1,562,955,007.04","1,562,955,007.56"
audio,"1,562,955,269.20","1,562,955,270.23"
audio,"1,562,961,120.09","1,562,961,123.69"
writing,"1,562,962,147.65","1,562,962,158.52"
writing,"1,562,962,723.11","1,562,962,730.36"
writing,"1,562,962,767.12","1,562,962,771.78"
writing,"1,562,963,857.95","1,562,963,874.51"
writing,"1,562,963,928.34","1,562,963,961.47"
writing,"1,562,965,484.13","1,562,965,489.31"
writing,"1,562,965,556.09","1,562,965,575.77"
writing,"1,562,966,146.54","1,562,966,147.06"
visual,"1,562,966,149.65","1,562,966,162.56"
writing,"1,562,966,178.59","1,562,966,179.11"
visual,"1,562,966,179.63","1,562,966,191.02"
visual,"1,562,966,266.56","1,562,966,278.45"
visual,"1,562,966,284.67","1,562,966,287.26"
visual,"1,562,966,292.97","1,562,966,297.12"
visual,"1,562,966,299.72","1,562,966,317.86"
writing,"1,562,966,480.91","1,562,966,482.99"
writing,"1,562,966,531.16","1,562,966,551.37"
writing,"1,562,967,082.52","1,562,967,090.80"
writing,"1,562,967,108.42","1,562,967,114.12"
writing,"1,562,967,151.92","1,562,967,159.17"
writing,"1,562,967,338.42","1,562,967,338.93"
writing,"1,562,969,089.24","1,562,969,094.42"
writing,"1,562,969,100.63","1,562,969,104.78"
writing,"1,562,971,514.92","1,562,971,515.43"
writing,"1,562,971,542.90","1,562,971,543.42"
writing,"1,562,971,553.76","1,562,971,554.28"
writing,"1,562,972,247.68","1,562,972,248.21"
