Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,567,320,929.14","1,567,320,938.46"
writing,"1,567,320,940.02","1,567,320,944.16"
writing,"1,567,320,994.85","1,567,320,997.44"
writing,"1,567,320,998.47","1,567,320,999.51"
writing,"1,567,321,013.46","1,567,321,032.07"
writing,"1,567,321,072.90","1,567,321,080.66"
writing,"1,567,321,101.32","1,567,321,198.62"
writing,"1,567,321,227.57","1,567,321,236.38"
writing,"1,567,321,241.07","1,567,321,305.74"
writing,"1,567,321,306.76","1,567,321,316.59"
writing,"1,567,321,319.17","1,567,321,321.76"
writing,"1,567,321,323.81","1,567,321,339.84"
writing,"1,567,321,343.96","1,567,321,362.58"
writing,"1,567,321,386.87","1,567,321,388.42"
writing,"1,567,321,497.32","1,567,321,520.59"
writing,"1,567,321,541.76","1,567,321,549.51"
writing,"1,567,321,557.25","1,567,321,567.60"
writing,"1,567,321,569.16","1,567,321,607.43"
writing,"1,567,321,619.31","1,567,321,623.96"
writing,"1,567,321,629.13","1,567,321,643.63"
writing,"1,567,321,677.81","1,567,321,690.74"
writing,"1,567,321,727.00","1,567,321,730.62"
writing,"1,567,321,735.81","1,567,321,765.84"
writing,"1,567,321,776.74","1,567,321,797.96"
writing,"1,567,321,905.71","1,567,321,975.62"
writing,"1,567,321,976.65","1,567,321,981.31"
writing,"1,567,321,983.38","1,567,321,984.42"
writing,"1,567,322,003.58","1,567,322,004.10"
writing,"1,567,322,005.13","1,567,322,008.23"
writing,"1,567,322,010.31","1,567,322,017.04"
writing,"1,567,322,018.08","1,567,322,028.94"
writing,"1,567,322,029.97","1,567,322,032.55"
writing,"1,567,322,061.55","1,567,322,064.65"
writing,"1,567,322,073.47","1,567,322,073.99"
writing,"1,567,322,075.01","1,567,322,077.08"
writing,"1,567,322,138.69","1,567,322,141.28"
writing,"1,567,322,172.88","1,567,322,178.07"
writing,"1,567,322,180.13","1,567,322,181.19"
writing,"1,567,322,193.60","1,567,322,198.26"
writing,"1,567,322,203.94","1,567,322,214.30"
writing,"1,567,322,239.00","1,567,322,241.60"
writing,"1,567,322,479.14","1,567,322,482.76"
writing,"1,567,322,490.52","1,567,322,529.34"
writing,"1,567,322,537.68","1,567,322,545.96"
writing,"1,567,322,548.04","1,567,322,564.61"
writing,"1,567,322,569.27","1,567,322,587.40"
writing,"1,567,322,592.08","1,567,322,644.36"
writing,"1,567,322,649.00","1,567,322,649.52"
writing,"1,567,322,657.83","1,567,322,669.22"
writing,"1,567,322,672.35","1,567,322,704.45"
writing,"1,567,322,716.37","1,567,322,716.89"
writing,"1,567,322,743.80","1,567,322,773.85"
audio,"1,567,322,813.22","1,567,322,824.09"
writing,"1,567,322,824.61","1,567,322,826.17"
writing,"1,567,322,828.27","1,567,322,829.31"
writing,"1,567,322,857.79","1,567,322,872.30"
writing,"1,567,322,873.85","1,567,322,926.16"
writing,"1,567,322,929.80","1,567,322,933.42"
writing,"1,567,322,937.56","1,567,322,943.25"
writing,"1,567,322,945.33","1,567,322,947.92"
writing,"1,567,322,955.17","1,567,322,955.70"
writing,"1,567,322,964.00","1,567,322,965.05"
writing,"1,567,322,971.25","1,567,322,972.81"
writing,"1,567,322,974.37","1,567,322,980.05"
writing,"1,567,322,984.72","1,567,322,986.78"
writing,"1,567,322,989.90","1,567,322,991.96"
writing,"1,567,322,997.65","1,567,323,002.30"
writing,"1,567,323,004.88","1,567,323,012.12"
writing,"1,567,323,019.89","1,567,323,041.63"
writing,"1,567,323,046.80","1,567,323,056.11"
writing,"1,567,323,057.70","1,567,323,064.42"
writing,"1,567,323,069.08","1,567,323,074.26"
writing,"1,567,323,076.33","1,567,323,083.06"
writing,"1,567,323,095.46","1,567,323,099.61"
writing,"1,567,323,101.68","1,567,323,102.20"
writing,"1,567,323,123.44","1,567,323,138.45"
writing,"1,567,323,141.04","1,567,323,141.56"
writing,"1,567,323,152.96","1,567,323,166.41"
writing,"1,567,323,199.04","1,567,323,204.22"
writing,"1,567,323,207.84","1,567,323,215.60"
writing,"1,567,323,219.74","1,567,323,224.39"
writing,"1,567,323,226.97","1,567,323,229.55"
writing,"1,567,323,232.14","1,567,323,251.30"
writing,"1,567,323,253.36","1,567,323,260.62"
writing,"1,567,323,265.27","1,567,323,277.70"
writing,"1,567,323,281.84","1,567,323,288.05"
writing,"1,567,323,290.11","1,567,323,296.84"
writing,"1,567,323,298.91","1,567,323,303.57"
writing,"1,567,323,317.02","1,567,323,341.86"
writing,"1,567,323,344.44","1,567,323,354.80"
writing,"1,567,323,380.17","1,567,323,384.31"
writing,"1,567,323,387.95","1,567,323,397.79"
writing,"1,567,323,404.01","1,567,323,427.33"
writing,"1,567,323,436.64","1,567,323,447.51"
