Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,563,406,187.35","1,563,406,189.93"
writing,"1,563,406,491.68","1,563,406,500.95"
audio,"1,563,406,965.39","1,563,406,967.97"
writing,"1,563,407,192.86","1,563,407,193.38"
audio,"1,563,409,023.62","1,563,409,026.20"
writing,"1,563,409,051.00","1,563,409,094.34"
writing,"1,563,409,183.18","1,563,409,196.10"
writing,"1,563,409,320.50","1,563,409,342.70"
writing,"1,563,409,455.79","1,563,409,467.65"
writing,"1,563,409,472.30","1,563,409,543.54"
writing,"1,563,409,596.21","1,563,409,603.95"
writing,"1,563,409,605.50","1,563,409,700.55"
writing,"1,563,409,740.85","1,563,409,749.12"
writing,"1,563,409,794.59","1,563,409,809.58"
writing,"1,563,409,812.17","1,563,409,847.33"
writing,"1,563,409,868.50","1,563,410,037.80"
writing,"1,563,410,055.36","1,563,410,060.01"
writing,"1,563,410,098.13","1,563,410,099.68"
writing,"1,563,410,343.06","1,563,410,592.10"
writing,"1,563,410,672.70","1,563,410,744.51"
writing,"1,563,416,322.83","1,563,416,323.87"
writing,"1,563,416,448.48","1,563,416,449.00"
audio,"1,563,416,449.51","1,563,416,450.56"
writing,"1,563,416,452.62","1,563,416,458.84"
audio,"1,563,416,459.36","1,563,416,459.88"
writing,"1,563,416,480.60","1,563,416,489.98"
audio,"1,563,416,496.72","1,563,416,497.24"
writing,"1,563,416,497.76","1,563,416,577.81"
writing,"1,563,416,620.77","1,563,416,645.30"
writing,"1,563,416,688.21","1,563,416,859.17"
audio,"1,563,416,859.69","1,563,416,860.24"
writing,"1,563,416,885.12","1,563,416,909.44"
audio,"1,563,416,910.99","1,563,416,911.51"
writing,"1,563,422,181.89","1,563,422,205.66"
writing,"1,563,422,216.54","1,563,422,223.26"
writing,"1,563,422,228.44","1,563,422,238.27"
writing,"1,563,422,300.36","1,563,422,309.15"
writing,"1,563,422,317.44","1,563,422,322.09"
writing,"1,563,422,439.89","1,563,422,440.41"
writing,"1,563,422,691.54","1,563,422,693.61"
writing,"1,563,422,707.56","1,563,422,752.05"
writing,"1,563,422,761.86","1,563,422,905.67"
audio,"1,563,422,918.60","1,563,422,921.70"
writing,"1,563,422,922.21","1,563,422,935.18"
writing,"1,563,422,956.41","1,563,422,980.23"
writing,"1,563,422,989.55","1,563,423,040.82"
writing,"1,563,423,047.04","1,563,423,050.66"
writing,"1,563,423,054.81","1,563,423,059.48"
writing,"1,563,423,062.59","1,563,423,118.52"
writing,"1,563,423,124.20","1,563,423,125.24"
writing,"1,563,423,136.12","1,563,423,163.54"
writing,"1,563,423,184.87","1,563,423,185.90"
writing,"1,563,423,194.71","1,563,423,239.23"
writing,"1,563,423,321.57","1,563,423,324.68"
writing,"1,563,423,328.82","1,563,423,435.56"
writing,"1,563,423,438.15","1,563,423,472.35"
writing,"1,563,423,828.22","1,563,423,898.68"
writing,"1,563,423,988.28","1,563,423,993.46"
writing,"1,563,424,016.24","1,563,424,022.46"
writing,"1,563,424,026.60","1,563,424,035.42"
writing,"1,563,424,041.64","1,563,424,046.29"
audio,"1,563,424,066.47","1,563,424,069.05"
writing,"1,563,427,951.41","1,563,427,952.44"
audio,"1,563,427,952.96","1,563,427,954.01"
writing,"1,563,437,547.80","1,563,437,548.31"
audio,"1,563,437,565.42","1,563,437,565.94"
writing,"1,563,437,654.65","1,563,437,655.17"
audio,"1,563,437,660.36","1,563,437,660.88"
writing,"1,563,437,661.40","1,563,437,661.92"
audio,"1,563,437,909.97","1,563,437,910.49"
writing,"1,563,437,915.17","1,563,437,937.46"
