Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,560,411,531.03","1,560,411,531.55"
writing,"1,560,411,602.22","1,560,411,613.05"
writing,"1,560,411,660.50","1,560,411,661.05"
writing,"1,560,412,331.41","1,560,412,364.94"
writing,"1,560,412,366.51","1,560,412,407.27"
writing,"1,560,412,408.82","1,560,412,426.36"
visual,"1,560,412,439.78","1,560,412,559.41"
writing,"1,560,412,568.76","1,560,412,571.85"
writing,"1,560,412,573.93","1,560,412,578.58"
writing,"1,560,412,582.74","1,560,412,587.90"
writing,"1,560,412,589.97","1,560,412,593.58"
writing,"1,560,412,598.23","1,560,412,605.45"
writing,"1,560,412,608.58","1,560,412,652.95"
writing,"1,560,412,655.02","1,560,412,674.10"
writing,"1,560,412,681.34","1,560,412,689.59"
writing,"1,560,412,691.67","1,560,412,702.51"
writing,"1,560,412,705.10","1,560,412,707.17"
writing,"1,560,412,709.25","1,560,412,711.31"
writing,"1,560,412,717.00","1,560,412,719.06"
visual,"1,560,412,739.76","1,560,412,765.54"
visual,"1,560,412,784.72","1,560,412,821.34"
writing,"1,560,412,842.07","1,560,412,844.14"
writing,"1,560,412,847.29","1,560,412,849.87"
writing,"1,560,412,869.53","1,560,412,870.58"
visual,"1,560,412,871.62","1,560,413,003.21"
writing,"1,560,413,005.30","1,560,413,006.35"
writing,"1,560,413,352.00","1,560,413,355.61"
writing,"1,560,413,405.68","1,560,413,406.19"
writing,"1,560,413,624.92","1,560,413,625.95"
writing,"1,560,414,089.46","1,560,414,089.97"
writing,"1,560,414,399.89","1,560,414,400.40"
writing,"1,560,414,403.03","1,560,414,404.08"
writing,"1,560,414,515.45","1,560,414,526.28"
writing,"1,560,414,530.95","1,560,414,541.79"
writing,"1,560,414,545.40","1,560,414,547.47"
writing,"1,560,414,556.77","1,560,414,569.15"
writing,"1,560,414,573.82","1,560,414,576.40"
writing,"1,560,414,578.49","1,560,414,579.52"
writing,"1,560,414,580.58","1,560,414,582.64"
writing,"1,560,414,584.73","1,560,414,618.79"
writing,"1,560,414,623.95","1,560,414,633.75"
writing,"1,560,414,666.24","1,560,414,672.95"
writing,"1,560,414,675.56","1,560,414,678.13"
writing,"1,560,414,687.95","1,560,414,695.69"
writing,"1,560,414,704.46","1,560,414,711.17"
writing,"1,560,414,713.26","1,560,414,721.51"
writing,"1,560,414,725.13","1,560,414,727.19"
writing,"1,560,414,732.91","1,560,414,748.41"
writing,"1,560,427,885.73","1,560,427,889.88"
writing,"1,560,430,921.51","1,560,430,922.03"
writing,"1,560,431,347.47","1,560,431,369.67"
writing,"1,560,431,826.98","1,560,431,827.50"
writing,"1,560,432,003.54","1,560,432,004.05"
writing,"1,560,432,225.63","1,560,432,226.14"
writing,"1,560,432,343.22","1,560,432,343.74"
writing,"1,560,432,560.34","1,560,432,560.86"
writing,"1,560,432,603.22","1,560,432,603.73"
writing,"1,560,432,764.30","1,560,432,764.82"
writing,"1,560,432,968.50","1,560,432,969.03"
writing,"1,560,433,526.79","1,560,433,527.30"
writing,"1,560,433,538.15","1,560,433,551.05"
writing,"1,560,433,555.18","1,560,433,562.41"
writing,"1,560,433,567.59","1,560,433,569.15"
writing,"1,560,433,574.89","1,560,433,575.40"
writing,"1,560,433,578.50","1,560,433,582.63"
writing,"1,560,433,602.76","1,560,433,608.44"
writing,"1,560,433,627.57","1,560,433,628.09"
writing,"1,560,433,638.44","1,560,433,642.57"
writing,"1,560,433,689.00","1,560,433,691.58"
writing,"1,560,433,695.73","1,560,433,699.34"
writing,"1,560,433,704.51","1,560,433,705.02"
writing,"1,560,434,083.10","1,560,434,085.67"
writing,"1,560,434,096.61","1,560,434,104.37"
writing,"1,560,434,179.24","1,560,434,405.70"
writing,"1,560,434,439.87","1,560,434,442.96"
writing,"1,560,434,444.02","1,560,434,444.55"
writing,"1,560,434,466.73","1,560,434,467.26"
writing,"1,560,434,500.37","1,560,434,502.94"
writing,"1,560,434,504.50","1,560,434,507.08"
writing,"1,560,434,747.44","1,560,434,849.57"
writing,"1,560,434,867.11","1,560,434,918.69"
writing,"1,560,435,203.90","1,560,435,204.93"
writing,"1,560,435,212.19","1,560,435,219.93"
writing,"1,560,435,223.05","1,560,435,225.12"
writing,"1,560,435,410.28","1,560,435,413.90"
writing,"1,560,435,416.52","1,560,435,425.81"
writing,"1,560,435,426.86","1,560,435,427.38"
writing,"1,560,437,176.83","1,560,437,177.35"
writing,"1,560,437,180.97","1,560,437,187.16"
writing,"1,560,437,189.24","1,560,437,189.76"
writing,"1,560,437,199.57","1,560,437,203.70"
writing,"1,560,437,204.77","1,560,437,206.32"
writing,"1,560,437,215.62","1,560,437,218.72"
writing,"1,560,437,227.53","1,560,437,244.06"
writing,"1,560,437,245.11","1,560,437,253.89"
writing,"1,560,437,270.93","1,560,437,274.55"
writing,"1,560,437,280.23","1,560,437,281.26"
writing,"1,560,437,283.34","1,560,437,290.05"
writing,"1,560,437,791.84","1,560,437,909.99"
writing,"1,560,437,914.22","1,560,437,941.06"
writing,"1,560,437,943.66","1,560,437,960.18"
writing,"1,560,437,972.06","1,560,437,977.73"
writing,"1,560,437,981.91","1,560,437,985.52"
writing,"1,560,437,987.61","1,560,438,010.85"
writing,"1,560,438,012.45","1,560,438,014.52"
writing,"1,560,438,017.12","1,560,438,020.72"
writing,"1,560,438,031.06","1,560,438,038.80"
writing,"1,560,438,042.44","1,560,438,047.09"
writing,"1,560,438,049.17","1,560,438,050.22"
writing,"1,560,438,113.17","1,560,438,126.08"
writing,"1,560,438,142.09","1,560,438,142.61"
writing,"1,560,438,153.45","1,560,438,166.86"
writing,"1,560,438,175.64","1,560,438,209.18"
writing,"1,560,438,211.82","1,560,438,216.47"
writing,"1,560,438,257.22","1,560,438,289.75"
writing,"1,560,438,341.86","1,560,438,387.30"
writing,"1,560,438,396.08","1,560,438,484.17"
writing,"1,560,438,580.72","1,560,438,581.24"
writing,"1,560,438,585.89","1,560,438,599.81"
writing,"1,560,438,609.63","1,560,438,622.02"
writing,"1,560,438,644.22","1,560,438,648.35"
writing,"1,560,438,664.39","1,560,438,669.55"
writing,"1,560,438,693.27","1,560,438,763.49"
writing,"1,560,438,771.29","1,560,438,785.24"
writing,"1,560,438,787.85","1,560,438,797.67"
writing,"1,560,438,801.29","1,560,438,816.27"
writing,"1,560,438,817.35","1,560,438,823.55"
writing,"1,560,438,824.66","1,560,438,826.75"
writing,"1,560,438,946.08","1,560,438,971.38"
writing,"1,560,438,977.57","1,560,438,978.61"
writing,"1,560,438,993.16","1,560,438,996.25"
writing,"1,560,439,036.51","1,560,439,037.55"
writing,"1,560,439,044.78","1,560,439,046.85"
writing,"1,560,439,064.94","1,560,439,065.46"
writing,"1,560,439,068.05","1,560,439,069.08"
writing,"1,560,439,071.69","1,560,439,081.99"
writing,"1,560,439,084.06","1,560,439,098.51"
writing,"1,560,439,100.58","1,560,439,123.81"
writing,"1,560,439,127.45","1,560,439,133.13"
writing,"1,560,439,135.22","1,560,439,177.05"
writing,"1,560,439,181.20","1,560,439,184.85"
writing,"1,560,439,186.40","1,560,439,200.37"
writing,"1,560,439,210.21","1,560,439,215.88"
writing,"1,560,439,221.15","1,560,439,233.54"
writing,"1,560,439,237.70","1,560,439,247.51"
writing,"1,560,439,252.69","1,560,439,253.20"
writing,"1,560,439,254.25","1,560,439,262.50"
writing,"1,560,439,263.54","1,560,439,272.83"
writing,"1,560,439,281.59","1,560,439,299.67"
writing,"1,560,439,305.86","1,560,439,311.02"
writing,"1,560,439,320.34","1,560,439,343.59"
writing,"1,560,439,351.86","1,560,439,391.66"
writing,"1,560,439,395.82","1,560,439,396.85"
writing,"1,560,439,430.90","1,560,439,450.52"
writing,"1,560,439,454.14","1,560,439,464.46"
writing,"1,560,439,472.25","1,560,439,479.99"
writing,"1,560,439,482.07","1,560,439,505.82"
writing,"1,560,439,510.49","1,560,439,576.57"
writing,"1,560,439,586.38","1,560,439,601.89"
writing,"1,560,439,605.54","1,560,439,607.60"
writing,"1,560,439,610.74","1,560,439,645.86"
writing,"1,560,439,651.04","1,560,439,659.82"
writing,"1,560,439,663.96","1,560,439,718.17"
writing,"1,560,439,724.91","1,560,439,731.11"
writing,"1,560,439,733.20","1,560,439,738.36"
writing,"1,560,439,739.95","1,560,439,748.22"
writing,"1,560,439,750.85","1,560,439,754.98"
writing,"1,560,439,764.28","1,560,439,775.12"
writing,"1,560,439,778.23","1,560,439,792.68"
