Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,574,812,842.74","1,574,812,846.82"
writing,"1,574,813,184.24","1,574,813,205.23"
writing,"1,574,813,223.66","1,574,813,233.38"
writing,"1,574,813,252.33","1,574,813,258.48"
writing,"1,574,813,332.21","1,574,813,334.26"
writing,"1,574,813,337.36","1,574,813,338.39"
writing,"1,574,813,339.93","1,574,813,350.17"
writing,"1,574,813,352.22","1,574,813,355.80"
writing,"1,574,813,358.88","1,574,813,374.23"
writing,"1,574,813,441.82","1,574,813,442.84"
writing,"1,574,813,459.23","1,574,813,468.44"
writing,"1,574,813,518.62","1,574,813,526.81"
writing,"1,574,813,530.42","1,574,813,548.85"
writing,"1,574,813,569.84","1,574,813,573.94"
writing,"1,574,813,576.50","1,574,813,600.05"
writing,"1,574,813,605.19","1,574,813,614.92"
writing,"1,574,813,623.12","1,574,813,628.23"
writing,"1,574,813,633.87","1,574,813,634.38"
writing,"1,574,813,649.74","1,574,813,650.25"
writing,"1,574,813,666.64","1,574,813,680.46"
writing,"1,574,813,681.49","1,574,813,705.55"
writing,"1,574,813,714.77","1,574,813,770.57"
writing,"1,574,813,966.76","1,574,813,967.27"
writing,"1,574,814,415.80","1,574,814,425.53"
writing,"1,574,814,606.29","1,574,814,606.80"
writing,"1,574,814,785.56","1,574,814,786.07"
writing,"1,574,815,276.02","1,574,815,276.53"
writing,"1,574,816,357.41","1,574,816,650.28"
writing,"1,574,816,655.41","1,574,816,655.93"
writing,"1,574,816,725.57","1,574,816,726.60"
writing,"1,574,816,727.63","1,574,816,728.65"
writing,"1,574,817,715.41","1,574,817,715.93"
writing,"1,574,818,056.91","1,574,818,057.42"
writing,"1,574,818,259.71","1,574,818,260.23"
writing,"1,574,818,709.79","1,574,818,710.30"
writing,"1,574,819,039.24","1,574,819,039.75"
writing,"1,574,857,967.35","1,574,857,967.86"
writing,"1,574,858,075.26","1,574,858,076.29"
writing,"1,574,858,405.60","1,574,858,406.12"
writing,"1,574,858,477.90","1,574,858,478.41"
writing,"1,574,858,479.96","1,574,858,484.58"
writing,"1,574,858,836.56","1,574,858,837.07"
writing,"1,574,858,853.49","1,574,858,854.01"
writing,"1,574,859,050.31","1,574,859,051.34"
writing,"1,574,859,418.01","1,574,859,418.52"
writing,"1,574,860,693.95","1,574,860,694.46"
writing,"1,574,860,706.79","1,574,860,707.30"
writing,"1,574,861,320.37","1,574,861,320.89"
writing,"1,574,861,926.40","1,574,861,926.91"
writing,"1,574,861,946.96","1,574,861,947.47"
writing,"1,574,862,282.06","1,574,862,282.57"
writing,"1,574,862,935.09","1,574,862,935.60"
audio,"1,574,863,050.24","1,574,863,056.91"
writing,"1,574,863,237.35","1,574,863,237.86"
audio,"1,574,863,242.49","1,574,863,244.55"
writing,"1,574,863,252.27","1,574,863,252.78"
writing,"1,574,863,373.01","1,574,863,373.52"
writing,"1,574,863,406.88","1,574,863,407.91"
writing,"1,574,863,481.35","1,574,863,482.38"
audio,"1,574,863,678.55","1,574,863,682.15"
audio,"1,574,863,701.66","1,574,863,705.77"
writing,"1,574,863,803.90","1,574,863,804.41"
writing,"1,574,863,816.24","1,574,863,816.75"
writing,"1,574,864,104.10","1,574,864,104.61"
audio,"1,574,864,173.44","1,574,864,174.98"
writing,"1,574,864,418.01","1,574,864,418.53"
writing,"1,574,864,452.38","1,574,864,452.89"
writing,"1,574,864,697.84","1,574,864,700.92"
writing,"1,574,864,757.83","1,574,864,758.35"
writing,"1,574,864,811.10","1,574,864,811.62"
writing,"1,574,864,888.49","1,574,864,889.00"
writing,"1,574,864,907.48","1,574,864,928.00"
writing,"1,574,864,935.69","1,574,864,937.23"
writing,"1,574,864,941.34","1,574,864,960.81"
writing,"1,574,865,030.53","1,574,865,036.71"
writing,"1,574,865,040.81","1,574,865,049.53"
writing,"1,574,865,057.22","1,574,865,072.60"
writing,"1,574,865,078.26","1,574,865,086.46"
writing,"1,574,865,106.96","1,574,865,118.75"
writing,"1,574,865,125.94","1,574,865,136.71"
writing,"1,574,865,157.20","1,574,865,159.75"
writing,"1,574,865,164.36","1,574,865,171.04"
writing,"1,574,865,177.19","1,574,865,180.26"
writing,"1,574,865,225.90","1,574,865,228.47"
writing,"1,574,865,240.78","1,574,865,252.58"
writing,"1,574,865,256.69","1,574,865,268.49"
writing,"1,574,865,276.69","1,574,865,283.89"
writing,"1,574,865,288.01","1,574,865,292.62"
writing,"1,574,865,297.75","1,574,865,303.39"
writing,"1,574,865,308.52","1,574,865,313.65"
writing,"1,574,865,406.88","1,574,865,416.12"
writing,"1,574,865,426.90","1,574,865,432.54"
writing,"1,574,865,487.40","1,574,865,492.03"
writing,"1,574,865,495.63","1,574,865,525.46"
writing,"1,574,865,529.06","1,574,865,532.14"
writing,"1,574,865,537.80","1,574,865,605.17"
