Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,574,410,880.97","1,574,410,881.48"
writing,"1,574,410,882.51","1,574,410,968.54"
audio,"1,574,410,969.05","1,574,410,969.57"
audio,"1,574,410,976.27","1,574,410,980.35"
writing,"1,574,412,261.55","1,574,412,262.07"
writing,"1,574,419,274.29","1,574,419,620.92"
audio,"1,574,420,390.66","1,574,420,392.21"
audio,"1,574,425,864.72","1,574,425,867.82"
writing,"1,574,426,271.96","1,574,426,272.99"
writing,"1,574,426,803.55","1,574,426,804.58"
writing,"1,574,430,761.46","1,574,430,762.49"
writing,"1,574,430,946.89","1,574,430,949.99"
writing,"1,574,435,148.84","1,574,435,149.37"
writing,"1,574,435,150.92","1,574,435,152.47"
audio,"1,574,435,788.45","1,574,435,798.78"
audio,"1,574,436,223.40","1,574,436,225.46"
audio,"1,574,436,932.12","1,574,436,934.70"
writing,"1,574,436,988.42","1,574,436,988.93"
audio,"1,574,436,989.45","1,574,436,990.48"
audio,"1,574,440,273.79","1,574,440,274.83"
audio,"1,574,440,277.93","1,574,440,279.48"
writing,"1,574,440,639.39","1,574,440,639.91"
audio,"1,574,440,640.42","1,574,440,640.94"
writing,"1,574,440,641.46","1,574,440,642.49"
audio,"1,574,440,703.96","1,574,440,704.99"
writing,"1,574,441,203.89","1,574,441,204.41"
audio,"1,574,443,362.58","1,574,443,364.13"
