Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,573,610,831.36","1,573,610,831.88"
audio,"1,573,610,832.39","1,573,610,833.94"
audio,"1,573,617,588.44","1,573,617,591.05"
audio,"1,573,617,654.09","1,573,617,656.15"
writing,"1,573,618,023.03","1,573,618,028.19"
audio,"1,573,618,795.71","1,573,618,798.81"
audio,"1,573,618,952.14","1,573,618,953.17"
writing,"1,573,623,067.53","1,573,623,068.05"
audio,"1,573,623,068.56","1,573,623,071.66"
writing,"1,573,629,945.28","1,573,629,945.80"
audio,"1,573,629,946.33","1,573,629,950.46"
writing,"1,573,629,950.97","1,573,629,951.49"
audio,"1,573,630,036.16","1,573,630,037.20"
audio,"1,573,638,996.76","1,573,639,111.93"
writing,"1,573,639,112.44","1,573,639,112.96"
audio,"1,573,641,392.54","1,573,641,410.05"
writing,"1,573,642,738.05","1,573,642,738.58"
audio,"1,573,642,739.09","1,573,642,755.62"
audio,"1,573,642,863.00","1,573,642,869.20"
writing,"1,573,643,135.06","1,573,643,142.81"
writing,"1,573,643,147.45","1,573,643,151.08"
writing,"1,573,643,155.73","1,573,643,161.93"
writing,"1,573,643,170.74","1,573,643,171.77"
writing,"1,573,643,174.37","1,573,643,175.91"
writing,"1,573,643,192.92","1,573,643,193.96"
writing,"1,573,643,209.93","1,573,643,210.44"
writing,"1,573,643,212.54","1,573,643,218.22"
writing,"1,573,643,233.71","1,573,643,241.98"
writing,"1,573,643,244.57","1,573,643,273.45"
writing,"1,573,643,288.43","1,573,643,333.84"
writing,"1,573,643,400.92","1,573,643,405.04"
writing,"1,573,643,420.01","1,573,643,426.21"
writing,"1,573,643,427.25","1,573,643,428.28"
writing,"1,573,643,438.10","1,573,643,441.19"
writing,"1,573,643,457.20","1,573,643,477.31"
writing,"1,573,643,501.58","1,573,643,548.04"
writing,"1,573,643,572.82","1,573,643,574.40"
writing,"1,573,643,575.95","1,573,643,583.18"
writing,"1,573,643,585.76","1,573,643,674.57"
writing,"1,573,643,795.86","1,573,643,797.93"
writing,"1,573,643,828.91","1,573,643,832.53"
writing,"1,573,643,844.43","1,573,643,862.48"
writing,"1,573,643,920.77","1,573,643,925.94"
writing,"1,573,643,941.44","1,573,643,944.53"
writing,"1,573,644,013.20","1,573,644,035.39"
writing,"1,573,644,051.90","1,573,644,222.22"
writing,"1,573,644,234.61","1,573,644,268.17"
writing,"1,573,644,275.93","1,573,644,287.80"
writing,"1,573,644,295.56","1,573,644,303.30"
writing,"1,573,644,306.93","1,573,644,308.48"
writing,"1,573,644,418.97","1,573,644,422.07"
writing,"1,573,644,425.70","1,573,644,488.17"
writing,"1,573,644,494.88","1,573,644,496.94"
writing,"1,573,644,503.14","1,573,644,507.79"
writing,"1,573,644,510.89","1,573,644,512.44"
writing,"1,573,644,515.03","1,573,644,521.21"
writing,"1,573,644,538.76","1,573,644,554.24"
writing,"1,573,644,578.51","1,573,644,723.69"
writing,"1,573,644,736.59","1,573,644,786.18"
writing,"1,573,644,815.69","1,573,644,878.71"
writing,"1,573,644,889.04","1,573,644,926.78"
writing,"1,573,644,929.89","1,573,644,934.03"
writing,"1,573,644,974.36","1,573,645,008.49"
writing,"1,573,645,018.82","1,573,645,019.35"
writing,"1,573,645,035.90","1,573,645,038.49"
