Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
audio,"1,577,629,099.82","1,577,629,110.10"
audio,"1,577,629,112.16","1,577,629,132.76"
audio,"1,577,629,167.85","1,577,629,173.01"
audio,"1,577,629,183.39","1,577,629,199.91"
audio,"1,577,629,209.22","1,577,629,227.28"
audio,"1,577,629,264.99","1,577,629,267.09"
writing,"1,577,629,332.06","1,577,629,333.61"
writing,"1,577,629,363.53","1,577,629,364.04"
audio,"1,577,629,366.11","1,577,629,378.99"
audio,"1,577,629,393.46","1,577,629,549.90"
writing,"1,577,629,550.41","1,577,629,550.93"
audio,"1,577,629,709.97","1,577,629,854.57"
writing,"1,577,629,855.08","1,577,629,922.16"
writing,"1,577,629,923.19","1,577,629,923.71"
audio,"1,577,630,036.67","1,577,630,043.89"
writing,"1,577,630,164.58","1,577,630,181.09"
writing,"1,577,630,183.15","1,577,630,265.19"
writing,"1,577,630,310.07","1,577,630,361.09"
audio,"1,577,630,411.16","1,577,630,411.68"
writing,"1,577,630,412.19","1,577,630,531.27"
writing,"1,577,630,576.16","1,577,630,599.91"
audio,"1,577,630,617.97","1,577,630,618.49"
writing,"1,577,630,619.01","1,577,630,655.11"
writing,"1,577,630,685.58","1,577,630,824.09"
writing,"1,577,630,838.61","1,577,630,895.83"
audio,"1,577,630,925.76","1,577,630,928.86"
writing,"1,577,630,956.21","1,577,630,960.85"
writing,"1,577,630,965.50","1,577,630,981.43"
writing,"1,577,630,986.59","1,577,630,989.69"
writing,"1,577,631,034.05","1,577,631,047.91"
writing,"1,577,631,071.15","1,577,631,079.36"
writing,"1,577,631,091.22","1,577,631,155.55"
writing,"1,577,631,243.79","1,577,631,276.30"
writing,"1,577,631,296.44","1,577,631,296.96"
writing,"1,577,631,297.99","1,577,631,305.73"
writing,"1,577,631,306.76","1,577,631,419.29"
writing,"1,577,631,461.60","1,577,631,480.65"
writing,"1,577,631,491.49","1,577,631,521.41"
writing,"1,577,631,523.48","1,577,631,547.18"
writing,"1,577,631,568.31","1,577,631,668.39"
writing,"1,577,631,763.88","1,577,631,764.40"
writing,"1,577,631,841.26","1,577,631,872.76"
writing,"1,577,631,877.92","1,577,631,889.27"
writing,"1,577,631,894.42","1,577,631,940.87"
writing,"1,577,631,942.43","1,577,631,946.03"
writing,"1,577,631,955.31","1,577,631,958.91"
writing,"1,577,631,966.13","1,577,631,971.81"
writing,"1,577,631,981.61","1,577,631,986.77"
writing,"1,577,631,992.95","1,577,632,236.48"
writing,"1,577,632,237.51","1,577,632,238.54"
writing,"1,577,632,292.21","1,577,632,316.46"
writing,"1,577,632,321.11","1,577,632,369.56"
writing,"1,577,632,374.21","1,577,632,376.78"
writing,"1,577,632,380.92","1,577,632,496.26"
writing,"1,577,632,545.85","1,577,632,550.48"
writing,"1,577,632,575.77","1,577,632,629.83"
writing,"1,577,632,713.36","1,577,632,716.46"
writing,"1,577,632,734.61","1,577,632,811.78"
writing,"1,577,632,822.63","1,577,632,829.33"
audio,"1,577,632,852.57","1,577,632,853.09"
