Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,579,509,817.49","1,579,509,818.53"
writing,"1,579,509,863.37","1,579,509,863.88"
writing,"1,579,510,204.35","1,579,510,204.87"
writing,"1,579,511,324.89","1,579,511,326.47"
visual,"1,579,511,339.87","1,579,511,403.67"
writing,"1,579,511,717.29","1,579,511,718.35"
writing,"1,579,511,749.84","1,579,511,750.38"
writing,"1,579,512,374.28","1,579,512,374.80"
writing,"1,579,512,706.06","1,579,512,706.58"
writing,"1,579,513,792.37","1,579,513,793.43"
writing,"1,579,514,459.24","1,579,514,459.76"
writing,"1,579,514,465.45","1,579,514,466.48"
writing,"1,579,514,515.36","1,579,514,516.39"
writing,"1,579,516,537.84","1,579,516,543.54"
writing,"1,579,516,554.36","1,579,516,624.98"
writing,"1,579,520,933.50","1,579,520,935.05"
visual,"1,579,520,935.57","1,579,520,980.35"
writing,"1,579,520,980.88","1,579,520,981.93"
writing,"1,579,521,004.06","1,579,521,004.60"
visual,"1,579,521,007.70","1,579,521,023.16"
visual,"1,579,521,043.77","1,579,521,626.46"
writing,"1,579,521,626.98","1,579,521,627.50"
visual,"1,579,521,644.00","1,579,521,645.03"
visual,"1,579,521,658.45","1,579,521,661.54"
visual,"1,579,521,664.15","1,579,521,667.78"
writing,"1,579,522,760.42","1,579,522,762.48"
writing,"1,579,523,933.11","1,579,523,935.21"
visual,"1,579,523,935.73","1,579,523,936.24"
writing,"1,579,523,947.08","1,579,523,965.65"
writing,"1,579,525,728.30","1,579,525,728.82"
writing,"1,579,525,729.85","1,579,526,374.77"
writing,"1,579,527,538.97","1,579,527,546.19"
writing,"1,579,527,694.26","1,579,527,711.32"
visual,"1,579,527,711.84","1,579,527,712.35"
writing,"1,579,528,645.64","1,579,528,646.67"
writing,"1,579,528,735.92","1,579,528,828.81"
visual,"1,579,528,829.33","1,579,529,079.80"
writing,"1,579,529,093.21","1,579,529,113.30"
writing,"1,579,529,115.88","1,579,529,137.52"
writing,"1,579,529,339.90","1,579,529,357.92"
writing,"1,579,529,370.81","1,579,529,556.35"
writing,"1,579,529,603.25","1,579,530,266.68"
writing,"1,579,530,269.26","1,579,530,301.75"
writing,"1,579,530,345.58","1,579,530,371.37"
writing,"1,579,530,387.85","1,579,530,403.32"
writing,"1,579,530,418.26","1,579,530,450.24"
writing,"1,579,530,480.66","1,579,530,481.20"
writing,"1,579,530,484.88","1,579,530,492.61"
writing,"1,579,530,504.45","1,579,530,520.41"
writing,"1,579,530,533.29","1,579,530,541.53"
writing,"1,579,530,565.19","1,579,530,596.64"
writing,"1,579,530,603.34","1,579,530,700.78"
writing,"1,579,530,711.60","1,579,530,726.55"
writing,"1,579,530,752.86","1,579,530,763.69"
writing,"1,579,530,765.77","1,579,530,766.28"
writing,"1,579,530,769.90","1,579,530,832.79"
writing,"1,579,530,853.42","1,579,530,874.56"
writing,"1,579,530,878.69","1,579,530,919.94"
writing,"1,579,530,927.16","1,579,530,932.83"
writing,"1,579,530,937.98","1,579,530,949.34"
writing,"1,579,530,960.71","1,579,530,997.30"
writing,"1,579,531,001.43","1,579,531,007.12"
writing,"1,579,531,012.28","1,579,531,015.88"
writing,"1,579,531,036.49","1,579,531,057.09"
writing,"1,579,531,060.70","1,579,531,068.43"
writing,"1,579,531,073.59","1,579,531,082.34"
writing,"1,579,531,102.96","1,579,531,119.45"
writing,"1,579,531,138.52","1,579,531,163.78"
writing,"1,579,531,174.08","1,579,531,193.67"
writing,"1,579,531,251.85","1,579,531,263.70"
writing,"1,579,531,279.67","1,579,531,290.49"
writing,"1,579,531,298.21","1,579,531,309.02"
writing,"1,579,531,312.11","1,579,531,317.27"
writing,"1,579,531,328.60","1,579,531,355.38"
writing,"1,579,531,375.45","1,579,531,382.15"
writing,"1,579,531,392.99","1,579,531,395.56"
writing,"1,579,531,556.80","1,579,531,565.04"
writing,"1,579,531,566.08","1,579,531,578.44"
writing,"1,579,531,583.61","1,579,531,586.70"
writing,"1,579,531,589.27","1,579,531,595.45"
writing,"1,579,531,617.60","1,579,531,624.82"
writing,"1,579,531,627.41","1,579,531,627.93"
writing,"1,579,531,760.92","1,579,531,768.14"
writing,"1,579,531,795.43","1,579,531,810.90"
writing,"1,579,531,813.51","1,579,531,818.69"
writing,"1,579,531,825.41","1,579,531,830.57"
writing,"1,579,531,875.90","1,579,531,882.11"
writing,"1,579,531,896.01","1,579,531,905.29"
writing,"1,579,531,922.80","1,579,531,968.66"
writing,"1,579,532,072.25","1,579,532,072.78"
writing,"1,579,532,275.87","1,579,532,303.70"
writing,"1,579,532,310.41","1,579,532,324.35"
writing,"1,579,532,350.11","1,579,532,364.54"
writing,"1,579,532,383.11","1,579,532,413.54"
writing,"1,579,532,415.61","1,579,532,417.17"
writing,"1,579,533,995.29","1,579,533,996.33"
writing,"1,579,548,482.13","1,579,548,484.70"
writing,"1,579,548,907.76","1,579,548,925.79"
writing,"1,579,548,950.53","1,579,548,951.56"
writing,"1,579,548,953.10","1,579,548,957.23"
writing,"1,579,548,960.32","1,579,548,963.40"
writing,"1,579,548,964.95","1,579,548,967.01"
writing,"1,579,548,969.60","1,579,548,975.79"
writing,"1,579,548,978.89","1,579,548,984.05"
writing,"1,579,548,986.62","1,579,548,987.14"
writing,"1,579,548,988.69","1,579,548,992.29"
writing,"1,579,548,993.84","1,579,548,995.90"
writing,"1,579,549,000.05","1,579,549,002.11"
writing,"1,579,549,025.27","1,579,549,029.90"
writing,"1,579,549,267.39","1,579,549,268.93"
writing,"1,579,549,285.93","1,579,549,289.02"
writing,"1,579,549,325.60","1,579,549,426.04"
writing,"1,579,549,432.73","1,579,549,449.22"
writing,"1,579,549,451.79","1,579,549,499.69"
writing,"1,579,549,502.79","1,579,549,517.20"
writing,"1,579,549,525.96","1,579,549,532.15"
writing,"1,579,549,535.24","1,579,549,538.33"
writing,"1,579,549,683.02","1,579,549,685.60"
writing,"1,579,549,715.99","1,579,549,716.50"
writing,"1,579,549,719.09","1,579,549,727.85"
writing,"1,579,549,758.80","1,579,549,780.97"
writing,"1,579,549,806.22","1,579,549,807.26"
writing,"1,579,549,813.95","1,579,549,833.02"
writing,"1,579,549,842.82","1,579,549,869.60"
writing,"1,579,549,941.15","1,579,549,949.91"
writing,"1,579,549,959.19","1,579,549,975.69"
writing,"1,579,550,026.63","1,579,550,032.82"
writing,"1,579,550,060.12","1,579,550,068.89"
writing,"1,579,550,071.52","1,579,550,076.15"
writing,"1,579,550,171.90","1,579,550,203.84"
writing,"1,579,550,223.96","1,579,550,228.58"
visual,"1,579,550,239.40","1,579,550,411.61"
visual,"1,579,550,619.05","1,579,550,689.20"
visual,"1,579,550,743.90","1,579,550,806.28"
writing,"1,579,550,815.08","1,579,550,827.47"
writing,"1,579,550,922.90","1,579,550,941.47"
writing,"1,579,550,944.04","1,579,550,955.40"
writing,"1,579,550,963.67","1,579,551,076.71"
writing,"1,579,551,139.62","1,579,551,140.65"
visual,"1,579,551,141.69","1,579,551,143.25"
writing,"1,579,551,143.77","1,579,551,191.25"
writing,"1,579,551,192.29","1,579,551,216.51"
writing,"1,579,551,276.86","1,579,551,284.09"
