Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,570,703,912.91","1,570,703,927.40"
writing,"1,570,703,938.26","1,570,703,945.00"
writing,"1,570,703,953.29","1,570,703,967.78"
writing,"1,570,704,346.10","1,570,704,351.30"
audio,"1,570,704,504.89","1,570,704,505.41"
writing,"1,570,704,573.15","1,570,704,659.57"
writing,"1,570,704,667.30","1,570,704,667.82"
writing,"1,570,704,716.41","1,570,704,716.93"
writing,"1,570,704,798.05","1,570,704,800.13"
writing,"1,570,704,812.56","1,570,704,919.23"
writing,"1,570,704,922.32","1,570,704,923.36"
audio,"1,570,704,948.21","1,570,704,949.76"
writing,"1,570,704,968.89","1,570,705,000.47"
writing,"1,570,705,045.47","1,570,705,052.72"
writing,"1,570,705,122.96","1,570,705,137.46"
writing,"1,570,705,165.36","1,570,705,167.43"
writing,"1,570,705,171.57","1,570,705,191.77"
writing,"1,570,705,221.28","1,570,705,225.94"
writing,"1,570,705,232.17","1,570,705,235.79"
writing,"1,570,705,237.87","1,570,705,250.29"
writing,"1,570,705,258.58","1,570,705,280.86"
writing,"1,570,705,308.80","1,570,705,309.83"
writing,"1,570,705,339.25","1,570,705,344.95"
writing,"1,570,705,354.25","1,570,705,371.34"
writing,"1,570,705,385.30","1,570,705,401.88"
writing,"1,570,705,431.36","1,570,705,521.46"
writing,"1,570,705,526.62","1,570,705,558.21"
writing,"1,570,705,561.33","1,570,705,571.16"
writing,"1,570,705,577.37","1,570,705,607.41"
writing,"1,570,705,613.09","1,570,705,678.69"
writing,"1,570,705,682.30","1,570,705,684.36"
audio,"1,570,705,684.87","1,570,705,690.52"
writing,"1,570,705,697.72","1,570,705,701.83"
writing,"1,570,705,706.96","1,570,705,775.43"
writing,"1,570,705,777.50","1,570,705,788.30"
writing,"1,570,705,795.00","1,570,705,796.54"
audio,"1,570,705,806.34","1,570,705,806.85"
writing,"1,570,705,807.36","1,570,705,870.55"
writing,"1,570,705,878.78","1,570,705,907.60"
writing,"1,570,705,978.53","1,570,705,979.05"
audio,"1,570,705,979.56","1,570,705,981.61"
writing,"1,570,706,011.84","1,570,706,054.01"
writing,"1,570,706,082.27","1,570,706,093.08"
writing,"1,570,706,094.63","1,570,706,096.68"
writing,"1,570,706,100.82","1,570,706,117.29"
writing,"1,570,706,122.42","1,570,706,123.45"
writing,"1,570,706,128.59","1,570,706,155.88"
writing,"1,570,706,170.81","1,570,706,186.77"
writing,"1,570,706,195.00","1,570,706,222.27"
writing,"1,570,706,228.44","1,570,706,238.72"
writing,"1,570,706,240.80","1,570,706,241.83"
writing,"1,570,706,246.97","1,570,706,287.61"
writing,"1,570,706,329.22","1,570,706,351.36"
writing,"1,570,706,362.65","1,570,706,380.66"
writing,"1,570,706,432.66","1,570,706,433.69"
writing,"1,570,706,435.74","1,570,706,497.54"
audio,"1,570,706,499.08","1,570,706,499.60"
writing,"1,570,706,500.12","1,570,706,631.29"
audio,"1,570,706,631.81","1,570,706,632.85"
writing,"1,570,706,653.93","1,570,706,654.44"
writing,"1,570,706,655.47","1,570,706,770.17"
audio,"1,570,706,787.64","1,570,706,788.16"
writing,"1,570,706,788.68","1,570,706,801.02"
audio,"1,570,706,803.59","1,570,706,804.62"
writing,"1,570,706,805.13","1,570,706,806.16"
writing,"1,570,706,809.25","1,570,706,809.76"
writing,"1,570,706,811.82","1,570,706,840.62"
writing,"1,570,706,862.73","1,570,706,863.24"
writing,"1,570,706,864.28","1,570,706,897.70"
writing,"1,570,706,901.30","1,570,706,917.77"
writing,"1,570,706,923.93","1,570,707,010.88"
writing,"1,570,707,018.59","1,570,707,028.86"
writing,"1,570,707,055.61","1,570,707,071.56"
writing,"1,570,707,075.67","1,570,707,086.47"
writing,"1,570,707,093.16","1,570,707,356.81"
writing,"1,570,707,379.96","1,570,707,392.32"
writing,"1,570,707,393.87","1,570,707,527.65"
writing,"1,570,707,528.68","1,570,707,543.61"
writing,"1,570,707,559.02","1,570,707,599.67"
writing,"1,570,707,620.23","1,570,707,628.46"
writing,"1,570,707,714.12","1,570,708,666.59"
writing,"1,570,708,677.91","1,570,708,709.82"
writing,"1,570,708,715.48","1,570,708,718.05"
writing,"1,570,708,719.60","1,570,708,721.66"
writing,"1,570,708,731.93","1,570,708,746.31"
writing,"1,570,708,755.06","1,570,708,763.28"
writing,"1,570,708,770.48","1,570,708,771.00"
writing,"1,570,708,776.65","1,570,708,779.22"
writing,"1,570,708,811.66","1,570,708,821.43"
writing,"1,570,708,830.69","1,570,708,834.81"
writing,"1,570,708,860.03","1,570,708,868.77"
writing,"1,570,708,884.72","1,570,708,890.90"
writing,"1,570,708,902.72","1,570,708,907.35"
writing,"1,570,708,912.50","1,570,708,917.13"
writing,"1,570,708,939.21","1,570,708,955.69"
writing,"1,570,708,957.23","1,570,708,959.81"
writing,"1,570,709,195.33","1,570,709,196.36"
writing,"1,570,709,223.63","1,570,709,224.15"
audio,"1,570,709,230.86","1,570,709,234.98"
writing,"1,570,709,235.49","1,570,709,296.19"
writing,"1,570,709,298.24","1,570,709,317.28"
writing,"1,570,709,318.31","1,570,709,331.18"
writing,"1,570,709,335.81","1,570,709,340.45"
writing,"1,570,709,398.10","1,570,709,398.61"
audio,"1,570,709,399.12","1,570,709,399.64"
writing,"1,570,709,400.16","1,570,709,400.69"
writing,"1,570,709,403.79","1,570,709,419.22"
writing,"1,570,709,420.25","1,570,709,428.48"
writing,"1,570,709,454.69","1,570,709,489.17"
writing,"1,570,709,547.82","1,570,709,564.80"
writing,"1,570,709,572.00","1,570,709,575.10"
writing,"1,570,709,576.12","1,570,709,593.09"
writing,"1,570,709,604.92","1,570,709,609.04"
audio,"1,570,709,732.04","1,570,709,733.60"
writing,"1,570,710,368.60","1,570,710,369.62"
audio,"1,570,710,370.14","1,570,710,372.70"
writing,"1,570,710,813.15","1,570,710,886.22"
writing,"1,570,710,901.13","1,570,710,906.78"
audio,"1,570,712,002.76","1,570,712,003.79"
audio,"1,570,712,069.44","1,570,712,070.48"
audio,"1,570,712,466.29","1,570,712,466.80"
writing,"1,570,712,467.31","1,570,712,499.05"
writing,"1,570,712,514.93","1,570,712,515.95"
writing,"1,570,712,543.62","1,570,712,559.00"
writing,"1,570,712,582.56","1,570,712,590.26"
writing,"1,570,712,594.38","1,570,712,597.96"
writing,"1,570,712,605.64","1,570,712,612.81"
writing,"1,570,712,629.70","1,570,712,636.36"
writing,"1,570,712,650.18","1,570,712,651.72"
writing,"1,570,712,660.94","1,570,712,671.71"
writing,"1,570,712,678.88","1,570,712,679.39"
writing,"1,570,712,685.04","1,570,712,686.07"
writing,"1,570,712,689.14","1,570,712,690.17"
writing,"1,570,712,794.10","1,570,712,798.71"
writing,"1,570,712,820.24","1,570,712,869.43"
writing,"1,570,712,876.60","1,570,712,891.46"
writing,"1,570,713,108.69","1,570,713,121.03"
writing,"1,570,713,234.86","1,570,713,264.04"
writing,"1,570,713,339.90","1,570,713,342.46"
writing,"1,570,713,527.29","1,570,713,534.49"
writing,"1,570,713,611.14","1,570,713,626.09"
writing,"1,570,713,630.22","1,570,713,630.74"
writing,"1,570,713,678.11","1,570,713,681.71"
writing,"1,570,713,686.37","1,570,713,693.59"
writing,"1,570,713,695.65","1,570,713,698.21"
audio,"1,570,713,698.73","1,570,713,701.29"
writing,"1,570,713,911.44","1,570,713,937.14"
writing,"1,570,713,958.19","1,570,713,970.53"
