Pool,Total Begin (Unix Time),Total End (Unix Time)
writing,"1,556,578,849.27","1,556,579,875.72"
writing,"1,556,615,406.99","1,556,617,854.36"
visual,"1,556,617,159.80","1,556,617,215.99"
writing,"1,556,618,067.13","1,556,618,184.41"
writing,"1,556,618,194.50","1,556,618,376.38"
writing,"1,556,618,402.83","1,556,625,823.16"
writing,"1,556,626,151.02","1,556,626,242.33"
writing,"1,556,664,057.58","1,556,664,135.09"
