Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,556,795,113.39","1,556,795,118.05"
writing,"1,556,795,121.15","1,556,795,268.07"
writing,"1,556,795,299.57","1,556,795,334.28"
writing,"1,556,795,344.07","1,556,795,349.81"
writing,"1,556,795,646.05","1,556,795,662.57"
writing,"1,556,795,664.64","1,556,795,683.23"
writing,"1,556,795,691.59","1,556,795,696.22"
writing,"1,556,795,738.61","1,556,795,739.65"
writing,"1,556,795,827.91","1,556,795,828.42"
writing,"1,556,795,899.61","1,556,795,924.95"
writing,"1,556,795,928.05","1,556,795,946.13"
writing,"1,556,795,960.07","1,556,795,985.52"
writing,"1,556,796,007.73","1,556,796,011.36"
writing,"1,556,796,023.29","1,556,796,036.73"
writing,"1,556,796,084.25","1,556,796,237.67"
writing,"1,556,796,281.52","1,556,796,463.28"
visual,"1,556,803,096.71","1,556,803,103.93"
visual,"1,556,803,166.00","1,556,803,211.98"
writing,"1,556,803,606.00","1,556,803,606.51"
writing,"1,556,803,608.06","1,556,803,609.10"
writing,"1,556,806,184.93","1,556,806,185.44"
visual,"1,556,833,051.97","1,556,833,077.37"
visual,"1,556,835,014.71","1,556,835,044.76"
