Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,570,096,123.73","1,570,096,124.25"
audio,"1,570,096,124.77","1,570,096,125.28"
writing,"1,570,096,221.73","1,570,096,222.24"
writing,"1,570,107,471.06","1,570,107,471.58"
audio,"1,570,107,472.10","1,570,107,472.62"
audio,"1,570,107,479.84","1,570,107,480.38"
writing,"1,570,136,770.57","1,570,136,779.89"
writing,"1,570,136,858.52","1,570,136,860.59"
writing,"1,570,136,866.84","1,570,136,867.87"
writing,"1,570,136,880.81","1,570,136,881.84"
writing,"1,570,136,899.44","1,570,136,899.95"
writing,"1,570,136,906.69","1,570,136,921.69"
writing,"1,570,136,926.90","1,570,136,932.07"
writing,"1,570,136,939.82","1,570,136,947.06"
writing,"1,570,136,958.48","1,570,136,959.51"
writing,"1,570,136,979.75","1,570,136,980.27"
writing,"1,570,137,000.45","1,570,137,001.49"
writing,"1,570,137,011.34","1,570,137,014.44"
writing,"1,570,137,041.86","1,570,137,071.35"
writing,"1,570,137,085.31","1,570,137,088.39"
writing,"1,570,137,103.87","1,570,137,104.90"
writing,"1,570,137,107.52","1,570,137,137.03"
writing,"1,570,137,155.14","1,570,137,156.17"
audio,"1,570,137,568.57","1,570,137,569.60"
writing,"1,570,137,640.51","1,570,137,645.68"
writing,"1,570,137,669.51","1,570,137,670.55"
audio,"1,570,137,671.07","1,570,137,672.11"
writing,"1,570,137,841.90","1,570,137,842.94"
audio,"1,570,138,428.87","1,570,138,445.97"
writing,"1,570,138,450.64","1,570,138,451.16"
audio,"1,570,138,451.68","1,570,138,462.58"
writing,"1,570,138,467.77","1,570,138,468.29"
audio,"1,570,138,468.81","1,570,138,470.88"
writing,"1,570,138,770.69","1,570,138,771.22"
audio,"1,570,138,771.74","1,570,138,774.84"
audio,"1,570,139,159.73","1,570,139,165.46"
writing,"1,570,139,445.18","1,570,139,445.70"
audio,"1,570,139,446.22","1,570,139,448.30"
writing,"1,570,139,448.82","1,570,139,450.39"
audio,"1,570,139,490.88","1,570,139,492.96"
writing,"1,570,139,779.37","1,570,139,779.88"
audio,"1,570,139,780.40","1,570,139,783.00"
audio,"1,570,140,358.08","1,570,140,361.19"
audio,"1,570,140,675.71","1,570,140,680.38"
audio,"1,570,140,741.63","1,570,140,743.70"
audio,"1,570,141,200.63","1,570,141,214.14"
