Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
audio,"1,559,873,618.77","1,559,873,640.38"
audio,"1,559,873,881.02","1,559,873,884.62"
writing,"1,559,873,885.13","1,559,873,885.67"
audio,"1,559,874,120.75","1,559,874,122.29"
writing,"1,559,874,126.93","1,559,874,127.96"
audio,"1,559,874,128.48","1,559,874,130.03"
audio,"1,559,874,133.13","1,559,874,136.74"
audio,"1,559,874,166.10","1,559,874,172.79"
audio,"1,559,874,212.51","1,559,874,217.66"
audio,"1,559,874,333.09","1,559,874,336.20"
audio,"1,559,874,381.60","1,559,874,384.71"
audio,"1,559,874,552.77","1,559,874,554.83"
writing,"1,559,874,904.95","1,559,874,905.46"
audio,"1,559,874,905.98","1,559,874,931.76"
writing,"1,559,875,003.37","1,559,875,003.88"
audio,"1,559,875,004.40","1,559,875,008.01"
writing,"1,559,875,008.53","1,559,875,009.56"
writing,"1,559,875,011.62","1,559,875,018.32"
writing,"1,559,875,034.92","1,559,875,035.44"
audio,"1,559,878,857.47","1,559,878,857.99"
writing,"1,559,916,428.00","1,559,916,428.52"
writing,"1,559,919,145.56","1,559,919,146.12"
writing,"1,559,919,147.18","1,559,919,152.35"
writing,"1,559,919,153.93","1,559,919,162.70"
writing,"1,559,919,164.25","1,559,919,168.38"
writing,"1,559,923,090.71","1,559,923,091.22"
