Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,559,633,355.95","1,559,633,411.99"
writing,"1,559,633,546.08","1,559,633,551.74"
audio,"1,559,633,852.34","1,559,633,855.43"
audio,"1,559,633,972.52","1,559,633,973.54"
writing,"1,559,634,082.58","1,559,634,097.54"
audio,"1,559,634,189.71","1,559,634,191.25"
writing,"1,559,635,766.07","1,559,635,769.68"
writing,"1,559,635,773.28","1,559,635,776.88"
writing,"1,559,635,791.30","1,559,635,791.81"
writing,"1,559,636,395.12","1,559,636,395.64"
audio,"1,559,636,572.96","1,559,636,573.48"
visual,"1,559,637,402.39","1,559,637,434.35"
writing,"1,559,639,165.22","1,559,639,185.39"
writing,"1,559,639,198.31","1,559,639,215.38"
writing,"1,559,639,230.88","1,559,639,254.67"
writing,"1,559,639,261.91","1,559,639,282.59"
writing,"1,559,639,328.61","1,559,639,332.75"
writing,"1,559,639,521.38","1,559,639,524.99"
writing,"1,559,639,564.78","1,559,639,605.13"
writing,"1,559,639,608.24","1,559,639,635.13"
writing,"1,559,639,637.23","1,559,639,649.12"
writing,"1,559,640,396.54","1,559,640,402.23"
audio,"1,559,645,077.79","1,559,645,078.31"
writing,"1,559,645,099.02","1,559,645,099.54"
writing,"1,559,654,186.31","1,559,654,187.34"
writing,"1,559,676,432.13","1,559,676,445.05"
writing,"1,559,683,072.72","1,559,683,074.80"
audio,"1,559,683,731.92","1,559,683,732.96"
writing,"1,559,683,855.35","1,559,683,855.87"
writing,"1,559,688,414.35","1,559,688,416.94"
