Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,578,445,540.43","1,578,445,544.54"
writing,"1,578,446,266.99","1,578,446,267.50"
writing,"1,578,446,272.65","1,578,446,274.19"
writing,"1,578,490,384.35","1,578,490,384.86"
writing,"1,578,490,548.69","1,578,490,549.20"
writing,"1,578,492,025.66","1,578,492,028.24"
writing,"1,578,492,261.13","1,578,492,275.04"
writing,"1,578,492,278.66","1,578,492,280.71"
writing,"1,578,492,295.11","1,578,492,295.62"
writing,"1,578,492,327.93","1,578,492,332.04"
writing,"1,578,492,347.42","1,578,492,361.28"
writing,"1,578,492,383.85","1,578,492,396.68"
writing,"1,578,492,426.97","1,578,492,441.35"
writing,"1,578,492,443.92","1,578,492,471.62"
writing,"1,578,492,483.94","1,578,492,502.94"
writing,"1,578,492,512.19","1,578,492,512.70"
writing,"1,578,492,521.94","1,578,492,526.56"
writing,"1,578,492,531.70","1,578,492,534.78"
writing,"1,578,492,547.61","1,578,492,557.37"
writing,"1,578,492,564.05","1,578,492,567.66"
writing,"1,578,492,582.55","1,578,492,586.15"
writing,"1,578,492,600.02","1,578,492,603.64"
writing,"1,578,492,624.66","1,578,492,638.52"
writing,"1,578,492,641.10","1,578,492,642.64"
writing,"1,578,492,655.98","1,578,492,660.61"
writing,"1,578,492,663.20","1,578,492,668.33"
writing,"1,578,492,674.50","1,578,492,677.07"
writing,"1,578,492,714.53","1,578,492,720.68"
writing,"1,578,492,723.26","1,578,492,725.82"
writing,"1,578,492,745.84","1,578,492,756.12"
writing,"1,578,492,762.28","1,578,492,766.91"
writing,"1,578,492,795.18","1,578,492,801.86"
writing,"1,578,492,809.57","1,578,492,812.14"
writing,"1,578,492,814.71","1,578,492,817.28"
writing,"1,578,492,824.47","1,578,492,826.52"
writing,"1,578,492,846.04","1,578,492,849.13"
writing,"1,578,492,854.78","1,578,492,859.39"
writing,"1,578,492,896.37","1,578,492,905.10"
writing,"1,578,493,075.96","1,578,493,088.82"
writing,"1,578,493,090.88","1,578,493,093.95"
writing,"1,578,493,131.93","1,578,493,138.09"
writing,"1,578,493,188.37","1,578,493,188.88"
writing,"1,578,493,191.99","1,578,493,198.67"
writing,"1,578,493,204.32","1,578,493,219.22"
writing,"1,578,493,307.47","1,578,493,322.88"
writing,"1,578,493,332.12","1,578,493,336.23"
writing,"1,578,493,341.37","1,578,493,343.93"
writing,"1,578,493,345.47","1,578,493,353.69"
writing,"1,578,493,369.61","1,578,493,380.92"
writing,"1,578,493,426.57","1,578,493,434.78"
writing,"1,578,493,437.35","1,578,493,439.92"
writing,"1,578,493,445.10","1,578,493,446.63"
writing,"1,578,493,473.85","1,578,493,484.64"
writing,"1,578,493,503.13","1,578,493,509.29"
writing,"1,578,493,512.37","1,578,493,512.88"
writing,"1,578,493,528.79","1,578,493,539.05"
writing,"1,578,493,556.54","1,578,493,557.05"
writing,"1,578,493,630.53","1,578,493,637.21"
writing,"1,578,493,652.61","1,578,493,660.83"
writing,"1,578,493,677.75","1,578,493,712.71"
writing,"1,578,493,719.91","1,578,493,720.42"
writing,"1,578,493,727.09","1,578,493,728.12"
writing,"1,578,493,738.93","1,578,493,742.02"
writing,"1,578,494,573.14","1,578,494,573.67"
writing,"1,578,494,616.75","1,578,494,617.26"
writing,"1,578,494,647.53","1,578,494,650.60"
audio,"1,578,494,652.14","1,578,494,652.65"
writing,"1,578,494,688.56","1,578,494,694.73"
writing,"1,578,494,730.63","1,578,494,731.67"
audio,"1,578,494,733.21","1,578,494,733.73"
writing,"1,578,494,750.18","1,578,494,750.70"
writing,"1,578,496,790.83","1,578,496,791.34"
writing,"1,578,496,826.31","1,578,496,983.22"
writing,"1,578,497,006.29","1,578,497,041.74"
visual,"1,578,497,042.26","1,578,497,063.34"
writing,"1,578,497,063.85","1,578,497,122.46"
writing,"1,578,498,132.48","1,578,498,132.99"
writing,"1,578,499,217.59","1,578,499,218.10"
writing,"1,578,499,270.01","1,578,499,270.53"
writing,"1,578,499,804.72","1,578,499,805.24"
writing,"1,578,500,457.17","1,578,500,468.49"
writing,"1,578,502,235.86","1,578,502,236.37"
writing,"1,578,502,352.05","1,578,502,454.37"
writing,"1,578,503,402.76","1,578,503,403.28"
writing,"1,578,505,489.10","1,578,505,536.49"
writing,"1,578,505,596.28","1,578,505,599.38"
writing,"1,578,505,743.47","1,578,505,786.71"
writing,"1,578,505,789.28","1,578,505,794.92"
audio,"1,578,510,664.78","1,578,510,874.13"
audio,"1,578,510,926.27","1,578,510,956.13"
audio,"1,578,511,159.45","1,578,511,163.06"
audio,"1,578,511,169.15","1,578,511,178.43"
audio,"1,578,511,690.68","1,578,511,691.71"
visual,"1,578,512,783.44","1,578,512,791.16"
visual,"1,578,512,826.68","1,578,512,913.35"
visual,"1,578,512,916.95","1,578,512,944.21"
visual,"1,578,512,954.00","1,578,512,974.10"
visual,"1,578,512,975.63","1,578,512,976.14"
visual,"1,578,513,515.06","1,578,513,519.16"
writing,"1,578,513,692.63","1,578,513,757.54"
writing,"1,578,513,759.08","1,578,513,783.84"
writing,"1,578,513,835.87","1,578,513,836.38"
writing,"1,578,513,847.21","1,578,513,887.39"
writing,"1,578,514,814.04","1,578,514,833.07"
writing,"1,578,515,005.92","1,578,515,039.86"
writing,"1,578,515,043.97","1,578,515,064.04"
writing,"1,578,515,106.73","1,578,515,109.82"
writing,"1,578,515,110.85","1,578,515,145.32"
writing,"1,578,515,146.86","1,578,515,178.24"
writing,"1,578,515,184.41","1,578,515,189.56"
writing,"1,578,515,191.10","1,578,515,209.64"
writing,"1,578,516,993.81","1,578,516,996.89"
writing,"1,578,516,999.98","1,578,517,007.18"
writing,"1,578,517,008.21","1,578,517,035.46"
writing,"1,578,517,041.11","1,578,517,042.65"
writing,"1,578,517,043.69","1,578,517,045.23"
writing,"1,578,517,046.26","1,578,517,069.39"
writing,"1,578,517,157.81","1,578,517,158.32"
writing,"1,578,517,349.38","1,578,517,394.64"
writing,"1,578,518,904.94","1,578,518,911.62"
writing,"1,578,519,793.95","1,578,519,794.46"
writing,"1,578,519,795.49","1,578,519,804.24"
