Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,562,799,845.51","1,562,799,846.03"
writing,"1,562,800,190.01","1,562,800,190.52"
writing,"1,562,800,194.65","1,562,800,888.43"
writing,"1,562,800,931.80","1,562,800,932.32"
writing,"1,562,800,939.07","1,562,800,939.61"
writing,"1,562,800,944.25","1,562,800,944.76"
audio,"1,562,801,092.74","1,562,801,093.28"
audio,"1,562,801,166.79","1,562,801,167.31"
audio,"1,562,801,573.86","1,562,801,574.38"
audio,"1,562,805,141.39","1,562,805,191.36"
writing,"1,562,805,241.38","1,562,805,246.02"
writing,"1,562,805,257.37","1,562,805,257.88"
writing,"1,562,805,269.23","1,562,805,272.84"
audio,"1,562,805,289.34","1,562,805,290.89"
writing,"1,562,805,297.08","1,562,805,298.12"
writing,"1,562,805,317.75","1,562,805,319.30"
writing,"1,562,805,386.34","1,562,805,435.87"
writing,"1,562,805,561.16","1,562,805,588.00"
writing,"1,562,805,597.29","1,562,805,614.29"
writing,"1,562,805,629.78","1,562,805,630.30"
writing,"1,562,805,634.96","1,562,805,642.69"
writing,"1,562,805,662.81","1,562,805,750.03"
writing,"1,562,805,796.46","1,562,805,796.98"
writing,"1,562,805,800.08","1,562,805,820.20"
writing,"1,562,805,968.67","1,562,806,002.21"
writing,"1,562,806,015.63","1,562,806,130.19"
writing,"1,562,806,152.87","1,562,806,256.62"
writing,"1,562,806,267.96","1,562,806,268.48"
writing,"1,562,806,271.07","1,562,806,276.74"
writing,"1,562,806,281.43","1,562,806,301.54"
writing,"1,562,806,303.63","1,562,806,313.43"
writing,"1,562,806,339.20","1,562,806,340.75"
writing,"1,562,806,362.94","1,562,806,378.95"
writing,"1,562,806,382.57","1,562,806,384.65"
writing,"1,562,806,388.78","1,562,806,389.81"
writing,"1,562,806,391.87","1,562,806,482.19"
writing,"1,562,806,493.56","1,562,806,514.71"
writing,"1,562,806,538.46","1,562,806,552.91"
writing,"1,562,806,565.80","1,562,806,572.51"
writing,"1,562,806,579.22","1,562,807,519.51"
writing,"1,562,807,524.67","1,562,807,526.23"
writing,"1,562,807,542.22","1,562,807,542.74"
writing,"1,562,807,580.38","1,562,807,634.62"
writing,"1,562,807,643.39","1,562,807,694.50"
writing,"1,562,807,701.73","1,562,807,714.11"
writing,"1,562,807,747.12","1,562,807,787.44"
writing,"1,562,807,825.67","1,562,807,836.00"
writing,"1,562,807,847.89","1,562,807,887.15"
writing,"1,562,807,899.02","1,562,807,974.89"
writing,"1,562,807,986.24","1,562,808,025.97"
writing,"1,562,808,050.21","1,562,808,079.63"
writing,"1,562,808,092.06","1,562,808,092.58"
writing,"1,562,808,179.79","1,562,808,219.56"
writing,"1,562,808,236.58","1,562,808,237.10"
writing,"1,562,808,278.93","1,562,808,282.03"
writing,"1,562,808,286.16","1,562,808,326.95"
writing,"1,562,808,340.90","1,562,808,368.31"
writing,"1,562,808,373.48","1,562,808,374.00"
writing,"1,562,808,505.07","1,562,808,516.43"
writing,"1,562,808,526.74","1,562,808,530.87"
writing,"1,562,808,538.62","1,562,808,575.89"
writing,"1,562,808,581.59","1,562,808,597.65"
writing,"1,562,808,602.32","1,562,808,614.75"
writing,"1,562,808,649.31","1,562,808,673.24"
writing,"1,562,808,677.37","1,562,808,680.97"
writing,"1,562,808,684.60","1,562,808,709.01"
writing,"1,562,808,711.59","1,562,808,712.63"
writing,"1,562,808,778.77","1,562,808,780.31"
writing,"1,562,808,806.15","1,562,808,817.01"
writing,"1,562,808,892.91","1,562,808,894.98"
writing,"1,562,808,942.01","1,562,808,960.80"
writing,"1,562,808,964.43","1,562,808,993.53"
writing,"1,562,808,996.12","1,562,809,012.14"
writing,"1,562,809,040.03","1,562,809,075.67"
writing,"1,562,809,081.36","1,562,809,197.81"
audio,"1,562,809,198.85","1,562,809,201.98"
writing,"1,562,809,203.54","1,562,809,226.87"
writing,"1,562,809,229.45","1,562,809,250.12"
writing,"1,562,809,269.29","1,562,809,271.89"
writing,"1,562,809,275.49","1,562,809,279.13"
writing,"1,562,809,315.80","1,562,809,324.61"
writing,"1,562,809,330.82","1,562,809,359.75"
writing,"1,562,809,364.41","1,562,809,367.01"
writing,"1,562,809,371.66","1,562,809,389.24"
writing,"1,562,809,394.41","1,562,809,417.17"
writing,"1,562,809,419.76","1,562,809,434.74"
writing,"1,562,809,437.34","1,562,809,439.93"
writing,"1,562,809,447.22","1,562,809,516.56"
writing,"1,562,809,528.46","1,562,809,541.37"
writing,"1,562,809,557.90","1,562,809,584.28"
writing,"1,562,809,587.90","1,562,809,614.79"
writing,"1,562,809,629.25","1,562,809,630.80"
writing,"1,562,809,634.42","1,562,809,639.60"
writing,"1,562,809,663.88","1,562,809,664.40"
writing,"1,562,809,672.66","1,562,809,676.80"
writing,"1,562,809,723.25","1,562,809,801.28"
writing,"1,562,809,812.69","1,562,809,815.29"
writing,"1,562,809,823.03","1,562,809,828.22"
writing,"1,562,809,830.30","1,562,809,835.46"
writing,"1,562,809,839.09","1,562,809,845.29"
writing,"1,562,809,847.39","1,562,809,865.01"
writing,"1,562,809,887.24","1,562,809,900.15"
writing,"1,562,809,925.47","1,562,809,941.00"
writing,"1,562,809,947.21","1,562,809,954.45"
writing,"1,562,809,959.64","1,562,809,983.95"
writing,"1,562,809,992.22","1,562,809,993.79"
writing,"1,562,809,996.89","1,562,809,997.41"
writing,"1,562,810,000.01","1,562,810,000.53"
writing,"1,562,810,002.09","1,562,810,013.98"
writing,"1,562,810,039.81","1,562,810,057.91"
writing,"1,562,810,077.04","1,562,810,099.27"
writing,"1,562,810,129.22","1,562,810,154.56"
writing,"1,562,810,165.42","1,562,810,182.49"
writing,"1,562,810,191.80","1,562,810,195.44"
writing,"1,562,810,209.41","1,562,810,225.43"
writing,"1,562,810,264.21","1,562,810,280.24"
writing,"1,562,810,287.99","1,562,810,289.55"
writing,"1,562,810,297.83","1,562,810,312.82"
writing,"1,562,810,338.65","1,562,810,384.09"
writing,"1,562,810,390.80","1,562,810,403.26"
writing,"1,562,810,409.99","1,562,810,425.50"
writing,"1,562,810,439.45","1,562,810,453.41"
writing,"1,562,810,553.07","1,562,810,582.57"
writing,"1,562,810,584.13","1,562,810,663.75"
writing,"1,562,810,682.34","1,562,810,874.04"
writing,"1,562,810,884.90","1,562,810,893.69"
writing,"1,562,810,908.68","1,562,810,938.67"
writing,"1,562,810,953.15","1,562,810,957.30"
