Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,561,677,984.65","1,561,677,985.17"
writing,"1,561,678,078.16","1,561,678,079.21"
writing,"1,561,678,147.95","1,561,678,148.47"
writing,"1,561,678,596.69","1,561,678,597.25"
writing,"1,561,678,704.75","1,561,678,705.26"
writing,"1,561,678,776.15","1,561,678,776.66"
writing,"1,561,678,881.08","1,561,678,881.60"
writing,"1,561,711,747.96","1,561,711,748.47"
writing,"1,561,711,863.06","1,561,711,863.58"
writing,"1,561,711,869.85","1,561,711,870.46"
writing,"1,561,711,879.33","1,561,711,879.86"
writing,"1,561,711,883.59","1,561,711,884.13"
writing,"1,561,712,418.46","1,561,712,419.00"
writing,"1,561,712,539.42","1,561,712,627.95"
writing,"1,561,712,726.75","1,561,712,743.29"
writing,"1,561,712,769.67","1,561,712,778.46"
writing,"1,561,712,803.81","1,561,712,861.20"
audio,"1,561,712,891.72","1,561,712,897.94"
writing,"1,561,712,899.58","1,561,712,915.63"
audio,"1,561,712,917.20","1,561,712,941.50"
writing,"1,561,712,956.51","1,561,712,957.03"
writing,"1,561,713,116.39","1,561,713,116.90"
writing,"1,561,713,268.67","1,561,713,269.20"
audio,"1,561,713,306.03","1,561,713,307.60"
writing,"1,561,713,321.06","1,561,713,322.61"
writing,"1,561,713,835.64","1,561,713,836.16"
writing,"1,561,714,155.21","1,561,714,155.73"
writing,"1,561,714,684.41","1,561,714,684.95"
writing,"1,561,714,766.92","1,561,714,767.96"
writing,"1,561,714,775.88","1,561,714,776.41"
writing,"1,561,714,779.55","1,561,714,780.06"
writing,"1,561,717,270.60","1,561,717,320.76"
writing,"1,561,717,327.51","1,561,717,348.19"
writing,"1,561,717,352.89","1,561,717,359.13"
writing,"1,561,717,378.82","1,561,717,393.33"
writing,"1,561,717,406.29","1,561,717,406.81"
writing,"1,561,717,409.45","1,561,717,437.41"
writing,"1,561,717,519.22","1,561,717,534.25"
writing,"1,561,717,539.48","1,561,717,541.57"
writing,"1,561,717,543.17","1,561,717,546.79"
writing,"1,561,717,553.03","1,561,717,553.54"
writing,"1,561,717,570.65","1,561,717,578.94"
writing,"1,561,717,580.67","1,561,717,591.81"
writing,"1,561,717,601.29","1,561,717,614.78"
