Pool,Total Begin (Unix Time),Total End (Unix Time)
writing,"1,556,406,018.49","1,556,408,448.64"
audio,"1,556,406,018.49","1,556,408,448.64"
writing,"1,556,448,344.48","1,556,449,726.73"
audio,"1,556,448,344.48","1,556,449,726.73"
writing,"1,556,450,116.81","1,556,453,650.48"
audio,"1,556,450,116.81","1,556,453,650.48"
writing,"1,556,454,188.88","1,556,454,339.03"
audio,"1,556,454,188.88","1,556,454,339.03"
writing,"1,556,455,118.40","1,556,455,841.62"
audio,"1,556,455,118.40","1,556,455,841.62"
writing,"1,556,455,896.30","1,556,464,496.54"
audio,"1,556,455,896.30","1,556,464,499.16"
writing,"1,556,464,575.13","1,556,469,296.57"
audio,"1,556,464,575.13","1,556,469,296.57"
writing,"1,556,471,110.91","1,556,471,112.06"
audio,"1,556,471,110.91","1,556,471,112.06"
writing,"1,556,471,114.08","1,556,472,207.62"
audio,"1,556,471,114.08","1,556,472,207.62"
writing,"1,556,473,081.21","1,556,478,766.91"
audio,"1,556,473,081.21","1,556,478,766.91"
visual,"1,556,474,606.59","1,556,474,709.63"
writing,"1,556,478,770.45","1,556,478,772.02"
audio,"1,556,478,770.45","1,556,478,772.02"
writing,"1,556,480,475.78","1,556,491,468.56"
audio,"1,556,480,475.78","1,556,491,468.56"
