Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,563,492,475.37","1,563,492,476.92"
writing,"1,563,492,486.74","1,563,492,492.43"
writing,"1,563,492,499.15","1,563,492,502.77"
writing,"1,563,496,720.57","1,563,496,721.10"
audio,"1,563,496,721.62","1,563,496,722.14"
audio,"1,563,496,739.16","1,563,496,739.68"
writing,"1,563,499,248.19","1,563,499,251.80"
audio,"1,563,500,075.67","1,563,500,077.74"
audio,"1,563,500,163.05","1,563,500,164.08"
writing,"1,563,500,830.32","1,563,500,845.35"
writing,"1,563,504,299.96","1,563,504,300.48"
audio,"1,563,504,301.00","1,563,504,302.03"
audio,"1,563,504,305.12","1,563,504,306.15"
audio,"1,563,504,393.87","1,563,504,398.00"
writing,"1,563,504,479.45","1,563,504,546.48"
writing,"1,563,504,549.58","1,563,504,553.70"
writing,"1,563,504,587.26","1,563,504,588.29"
writing,"1,563,504,595.01","1,563,504,595.52"
audio,"1,563,504,640.91","1,563,504,647.61"
writing,"1,563,504,896.60","1,563,504,898.15"
writing,"1,563,505,142.70","1,563,505,153.03"
writing,"1,563,505,197.46","1,563,505,203.14"
writing,"1,563,505,227.42","1,563,505,235.68"
writing,"1,563,505,237.23","1,563,505,338.85"
writing,"1,563,505,354.78","1,563,505,369.72"
writing,"1,563,505,382.10","1,563,505,390.88"
writing,"1,563,505,407.39","1,563,505,407.91"
writing,"1,563,505,409.97","1,563,505,414.10"
audio,"1,563,505,416.69","1,563,505,418.75"
writing,"1,563,505,419.27","1,563,505,419.78"
audio,"1,563,505,516.75","1,563,505,526.02"
writing,"1,563,505,576.67","1,563,505,584.42"
writing,"1,563,505,585.44","1,563,505,586.47"
writing,"1,563,505,588.54","1,563,505,643.79"
writing,"1,563,505,647.40","1,563,505,668.57"
writing,"1,563,505,684.02","1,563,505,722.23"
writing,"1,563,505,733.06","1,563,505,733.59"
audio,"1,563,505,734.12","1,563,505,743.39"
writing,"1,563,505,743.91","1,563,505,746.50"
writing,"1,563,505,753.72","1,563,505,757.33"
writing,"1,563,505,780.59","1,563,505,821.93"
writing,"1,563,505,827.61","1,563,505,843.09"
writing,"1,563,505,844.13","1,563,505,844.64"
writing,"1,563,505,852.93","1,563,505,907.14"
writing,"1,563,505,913.84","1,563,505,915.91"
writing,"1,563,505,920.04","1,563,505,932.44"
writing,"1,563,505,937.61","1,563,505,941.74"
writing,"1,563,505,955.13","1,563,505,975.77"
writing,"1,563,505,977.86","1,563,506,019.16"
writing,"1,563,506,038.82","1,563,506,040.37"
writing,"1,563,506,046.05","1,563,506,057.41"
writing,"1,563,506,067.23","1,563,506,306.71"
writing,"1,563,506,307.74","1,563,506,317.04"
writing,"1,563,506,361.40","1,563,506,427.93"
writing,"1,563,506,443.41","1,563,506,450.64"
writing,"1,563,506,461.46","1,563,506,487.27"
writing,"1,563,506,490.88","1,563,506,501.20"
writing,"1,563,506,504.29","1,563,506,529.58"
writing,"1,563,506,537.85","1,563,506,542.49"
writing,"1,563,506,560.58","1,563,506,573.49"
writing,"1,563,506,579.19","1,563,506,596.73"
writing,"1,563,506,616.85","1,563,506,668.46"
writing,"1,563,506,673.10","1,563,506,676.71"
writing,"1,563,506,694.75","1,563,506,698.88"
writing,"1,563,506,704.56","1,563,506,712.30"
writing,"1,563,506,716.41","1,563,506,717.96"
writing,"1,563,506,723.63","1,563,506,726.73"
writing,"1,563,506,730.34","1,563,506,735.51"
writing,"1,563,506,741.71","1,563,506,748.50"
writing,"1,563,506,753.67","1,563,506,754.70"
writing,"1,563,506,756.76","1,563,506,758.31"
writing,"1,563,506,760.37","1,563,506,763.98"
writing,"1,563,506,771.72","1,563,506,775.86"
writing,"1,563,506,778.96","1,563,506,781.03"
writing,"1,563,507,443.23","1,563,507,449.94"
writing,"1,563,507,453.57","1,563,507,458.20"
writing,"1,563,507,465.45","1,563,507,467.51"
writing,"1,563,507,473.20","1,563,507,481.96"
writing,"1,563,507,489.18","1,563,507,494.34"
writing,"1,563,507,500.06","1,563,507,508.32"
writing,"1,563,507,517.60","1,563,507,536.71"
writing,"1,563,507,542.89","1,563,507,549.08"
writing,"1,563,507,551.66","1,563,507,558.90"
writing,"1,563,507,671.41","1,563,507,683.29"
writing,"1,563,507,961.41","1,563,507,962.45"
writing,"1,563,507,988.85","1,563,508,007.44"
writing,"1,563,508,010.53","1,563,508,018.28"
writing,"1,563,508,021.38","1,563,508,026.55"
writing,"1,563,508,030.17","1,563,508,032.23"
writing,"1,563,508,036.35","1,563,508,037.38"
writing,"1,563,508,042.03","1,563,508,066.30"
writing,"1,563,508,072.56","1,563,508,079.28"
writing,"1,563,508,088.06","1,563,508,091.67"
writing,"1,563,508,094.76","1,563,508,101.98"
writing,"1,563,508,115.39","1,563,508,120.56"
writing,"1,563,508,170.65","1,563,508,171.16"
writing,"1,563,508,274.36","1,563,508,294.49"
writing,"1,563,508,300.67","1,563,508,306.86"
writing,"1,563,508,308.41","1,563,508,311.51"
writing,"1,563,508,317.71","1,563,508,323.38"
writing,"1,563,508,326.48","1,563,508,328.03"
writing,"1,563,508,337.83","1,563,508,342.99"
writing,"1,563,508,349.17","1,563,508,352.27"
writing,"1,563,508,362.07","1,563,508,365.17"
writing,"1,563,508,373.94","1,563,508,402.34"
writing,"1,563,508,457.10","1,563,508,466.39"
writing,"1,563,508,472.58","1,563,508,486.52"
writing,"1,563,508,490.13","1,563,508,495.28"
writing,"1,563,508,498.88","1,563,508,503.01"
writing,"1,563,508,511.26","1,563,508,515.39"
writing,"1,563,508,526.23","1,563,508,529.33"
writing,"1,563,508,532.43","1,563,508,536.04"
writing,"1,563,508,583.53","1,563,508,589.21"
writing,"1,563,508,607.29","1,563,508,615.55"
writing,"1,563,508,646.50","1,563,508,672.32"
writing,"1,563,508,675.93","1,563,508,678.52"
writing,"1,563,508,680.07","1,563,508,730.20"
writing,"1,563,508,734.32","1,563,508,735.35"
writing,"1,563,508,767.38","1,563,508,772.55"
writing,"1,563,508,785.98","1,563,508,801.99"
writing,"1,563,508,804.57","1,563,508,812.84"
writing,"1,563,508,820.10","1,563,508,824.23"
writing,"1,563,508,826.30","1,563,508,851.61"
writing,"1,563,508,867.10","1,563,508,873.81"
writing,"1,563,508,913.03","1,563,508,916.64"
writing,"1,563,508,932.67","1,563,508,938.87"
writing,"1,563,508,941.97","1,563,508,945.61"
writing,"1,563,508,949.23","1,563,508,966.27"
writing,"1,563,508,968.85","1,563,508,970.40"
writing,"1,563,508,972.98","1,563,508,976.60"
writing,"1,563,508,979.69","1,563,508,982.80"
writing,"1,563,508,985.89","1,563,508,986.41"
writing,"1,563,508,987.96","1,563,509,000.89"
writing,"1,563,509,012.76","1,563,509,023.61"
writing,"1,563,509,031.35","1,563,509,037.54"
writing,"1,563,509,040.12","1,563,509,049.43"
writing,"1,563,509,053.57","1,563,509,054.60"
writing,"1,563,509,058.25","1,563,509,079.40"
writing,"1,563,509,085.08","1,563,509,090.24"
writing,"1,563,509,093.34","1,563,509,108.32"
writing,"1,563,509,155.26","1,563,509,176.42"
writing,"1,563,509,179.52","1,563,509,182.62"
writing,"1,563,509,191.37","1,563,509,193.43"
writing,"1,563,509,201.70","1,563,509,204.28"
writing,"1,563,509,209.44","1,563,509,216.66"
writing,"1,563,509,223.36","1,563,509,228.01"
writing,"1,563,509,233.16","1,563,509,234.71"
writing,"1,563,509,237.29","1,563,509,240.39"
writing,"1,563,509,243.48","1,563,509,251.23"
writing,"1,563,509,256.39","1,563,509,263.62"
writing,"1,563,509,268.81","1,563,509,274.48"
writing,"1,563,509,280.15","1,563,509,293.07"
writing,"1,563,509,295.66","1,563,509,342.65"
writing,"1,563,509,349.35","1,563,509,356.58"
writing,"1,563,509,362.25","1,563,509,363.79"
writing,"1,563,509,366.37","1,563,509,370.51"
writing,"1,563,509,375.15","1,563,509,380.83"
writing,"1,563,509,389.61","1,563,509,398.40"
writing,"1,563,509,403.05","1,563,509,408.72"
writing,"1,563,509,412.85","1,563,509,415.43"
writing,"1,563,509,418.01","1,563,509,430.90"
writing,"1,563,509,436.06","1,563,509,438.64"
writing,"1,563,509,442.26","1,563,509,443.81"
writing,"1,563,509,444.84","1,563,509,445.86"
writing,"1,563,509,451.03","1,563,509,453.61"
writing,"1,563,509,460.83","1,563,509,462.38"
writing,"1,563,509,470.64","1,563,509,482.51"
writing,"1,563,509,484.58","1,563,509,485.61"
writing,"1,563,509,487.68","1,563,509,491.81"
writing,"1,563,509,507.30","1,563,509,510.91"
writing,"1,563,509,528.98","1,563,509,562.56"
writing,"1,563,509,571.32","1,563,509,579.58"
writing,"1,563,509,584.23","1,563,509,587.84"
writing,"1,563,509,597.22","1,563,509,634.41"
writing,"1,563,509,637.51","1,563,509,647.83"
writing,"1,563,509,653.52","1,563,509,655.07"
writing,"1,563,509,668.50","1,563,509,669.54"
