Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,567,414,938.66","1,567,414,940.21"
writing,"1,567,414,966.10","1,567,414,973.34"
writing,"1,567,415,002.87","1,567,415,005.97"
writing,"1,567,415,029.79","1,567,415,038.58"
writing,"1,567,415,046.34","1,567,415,052.04"
writing,"1,567,415,170.03","1,567,415,173.15"
writing,"1,567,415,195.42","1,567,415,195.93"
writing,"1,567,415,207.85","1,567,415,208.37"
writing,"1,567,415,220.82","1,567,415,221.34"
writing,"1,567,415,438.14","1,567,415,440.73"
writing,"1,567,415,568.12","1,567,415,582.61"
writing,"1,567,415,588.30","1,567,415,597.10"
writing,"1,567,415,615.24","1,567,415,619.89"
writing,"1,567,415,921.06","1,567,415,924.69"
writing,"1,567,415,930.41","1,567,415,935.58"
writing,"1,567,415,941.79","1,567,415,943.35"
writing,"1,567,415,953.19","1,567,415,961.48"
writing,"1,567,415,963.57","1,567,415,966.67"
writing,"1,567,415,971.34","1,567,415,974.44"
writing,"1,567,415,993.59","1,567,416,018.44"
audio,"1,567,416,509.10","1,567,416,516.90"
audio,"1,567,416,527.80","1,567,416,550.05"
writing,"1,567,416,575.98","1,567,416,606.09"
writing,"1,567,416,609.72","1,567,416,625.76"
writing,"1,567,416,627.32","1,567,416,654.80"
writing,"1,567,416,656.35","1,567,416,658.94"
writing,"1,567,416,671.38","1,567,416,675.01"
writing,"1,567,416,676.05","1,567,416,684.87"
writing,"1,567,416,686.44","1,567,416,728.47"
writing,"1,567,416,747.61","1,567,416,755.39"
writing,"1,567,416,758.54","1,567,416,765.28"
writing,"1,567,416,786.57","1,567,416,793.83"
writing,"1,567,416,796.43","1,567,416,797.47"
writing,"1,567,416,800.58","1,567,416,807.33"
writing,"1,567,416,840.00","1,567,417,054.13"
writing,"1,567,417,057.79","1,567,417,064.53"
writing,"1,567,417,133.56","1,567,417,220.70"
writing,"1,567,417,225.37","1,567,417,232.63"
writing,"1,567,417,237.31","1,567,417,297.43"
writing,"1,567,417,304.67","1,567,417,314.01"
writing,"1,567,417,318.67","1,567,417,348.25"
audio,"1,567,417,348.77","1,567,417,349.29"
writing,"1,567,417,349.81","1,567,417,354.47"
writing,"1,567,417,362.26","1,567,417,370.57"
