Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
writing,"1,574,683,021.87","1,574,683,022.38"
audio,"1,574,689,543.52","1,574,689,545.07"
writing,"1,574,689,545.59","1,574,689,546.11"
audio,"1,574,691,623.82","1,574,691,624.85"
writing,"1,574,693,091.73","1,574,693,100.50"
writing,"1,574,693,102.08","1,574,693,129.42"
writing,"1,574,693,133.04","1,574,693,149.04"
writing,"1,574,693,154.23","1,574,693,165.64"
writing,"1,574,693,185.43","1,574,693,222.73"
writing,"1,574,693,383.37","1,574,693,447.88"
writing,"1,574,693,541.25","1,574,693,549.50"
writing,"1,574,693,563.95","1,574,693,574.79"
writing,"1,574,693,591.35","1,574,693,629.11"
writing,"1,574,693,660.18","1,574,693,670.00"
writing,"1,574,694,139.19","1,574,694,148.51"
writing,"1,574,694,404.35","1,574,694,410.04"
writing,"1,574,698,481.59","1,574,698,556.08"
writing,"1,574,698,564.87","1,574,698,794.01"
audio,"1,574,700,193.09","1,574,700,194.64"
audio,"1,574,700,196.20","1,574,700,198.26"
audio,"1,574,700,659.37","1,574,700,660.40"
audio,"1,574,704,924.99","1,574,704,926.02"
audio,"1,574,704,929.67","1,574,704,931.74"
audio,"1,574,705,175.74","1,574,705,178.33"
writing,"1,574,705,178.85","1,574,705,179.37"
audio,"1,574,705,293.21","1,574,705,297.35"
writing,"1,574,705,297.87","1,574,705,298.39"
audio,"1,574,705,447.32","1,574,705,448.36"
audio,"1,574,705,503.70","1,574,705,524.95"
audio,"1,574,705,551.37","1,574,705,558.09"
writing,"1,574,705,558.62","1,574,705,559.13"
audio,"1,574,705,567.42","1,574,705,569.49"
audio,"1,574,705,754.38","1,574,705,755.41"
audio,"1,574,710,120.24","1,574,710,123.35"
writing,"1,574,710,658.75","1,574,710,659.78"
audio,"1,574,710,714.08","1,574,710,715.12"
writing,"1,574,717,533.73","1,574,717,544.57"
writing,"1,574,717,978.49","1,574,718,029.19"
writing,"1,574,718,030.75","1,574,718,043.69"
writing,"1,574,718,090.34","1,574,718,197.11"
writing,"1,574,718,328.72","1,574,718,361.30"
writing,"1,574,718,523.50","1,574,718,527.64"
writing,"1,574,718,540.58","1,574,718,556.61"
writing,"1,574,718,560.74","1,574,718,602.10"
writing,"1,574,718,605.72","1,574,718,616.58"
writing,"1,574,718,619.69","1,574,718,635.73"
writing,"1,574,718,638.84","1,574,718,781.02"
writing,"1,574,718,787.22","1,574,718,810.49"
writing,"1,574,718,819.79","1,574,718,831.17"
writing,"1,574,718,835.82","1,574,718,855.48"
writing,"1,574,718,903.08","1,574,718,928.93"
writing,"1,574,718,932.56","1,574,718,939.79"
writing,"1,574,718,949.16","1,574,718,979.14"
writing,"1,574,718,991.05","1,574,719,012.76"
writing,"1,574,719,015.35","1,574,719,099.12"
writing,"1,574,719,105.33","1,574,719,122.40"
writing,"1,574,719,167.37","1,574,719,228.37"
writing,"1,574,719,230.99","1,574,719,242.87"
writing,"1,574,719,245.46","1,574,719,325.62"
writing,"1,574,719,327.70","1,574,719,329.25"
writing,"1,574,719,584.92","1,574,719,621.15"
writing,"1,574,719,736.46","1,574,719,744.73"
writing,"1,574,719,841.44","1,574,719,843.00"
writing,"1,574,722,867.67","1,574,722,929.75"
