Pool,Foreground Begin (Unix Time),Foreground End (Unix Time)
audio,"1,576,029,455.81","1,576,029,457.88"
visual,"1,576,029,458.39","1,576,029,497.96"
audio,"1,576,029,502.08","1,576,029,510.32"
visual,"1,576,029,510.84","1,576,029,520.60"
visual,"1,576,029,526.32","1,576,029,527.87"
visual,"1,576,029,660.39","1,576,029,699.05"
audio,"1,576,029,712.45","1,576,029,713.49"
audio,"1,576,029,733.08","1,576,029,740.31"
visual,"1,576,029,740.83","1,576,029,776.35"
audio,"1,576,052,789.26","1,576,052,796.49"
audio,"1,576,053,603.26","1,576,053,605.86"
audio,"1,576,054,317.70","1,576,054,322.35"
audio,"1,576,054,401.98","1,576,054,403.03"
audio,"1,576,108,000.30","1,576,108,001.34"
audio,"1,576,108,262.95","1,576,108,265.01"
