Pool,Total Begin (Unix Time),Total End (Unix Time)
writing,"1,556,492,468.38","1,556,492,501.10"
audio,"1,556,492,468.38","1,556,492,501.10"
writing,"1,556,492,520.69","1,556,492,564.50"
audio,"1,556,492,520.69","1,556,492,564.50"
writing,"1,556,495,139.50","1,556,495,170.13"
audio,"1,556,495,139.50","1,556,495,170.13"
writing,"1,556,534,100.44","1,556,535,843.93"
audio,"1,556,534,100.44","1,556,535,843.93"
writing,"1,556,537,381.68","1,556,537,861.04"
audio,"1,556,537,381.68","1,556,537,861.04"
writing,"1,556,537,864.58","1,556,537,954.51"
audio,"1,556,537,864.58","1,556,537,954.51"
writing,"1,556,537,968.08","1,556,539,625.16"
audio,"1,556,537,968.08","1,556,539,625.16"
writing,"1,556,539,659.26","1,556,552,186.84"
audio,"1,556,539,659.26","1,556,552,186.84"
visual,"1,556,544,880.95","1,556,545,277.45"
visual,"1,556,545,331.87","1,556,552,186.84"
writing,"1,556,552,837.31","1,556,553,981.65"
audio,"1,556,552,837.31","1,556,553,981.65"
visual,"1,556,552,837.31","1,556,553,981.65"
writing,"1,556,553,987.21","1,556,554,983.20"
audio,"1,556,553,987.21","1,556,554,983.20"
visual,"1,556,553,987.21","1,556,554,983.20"
writing,"1,556,555,373.25","1,556,558,358.85"
audio,"1,556,555,373.25","1,556,558,358.85"
visual,"1,556,555,373.25","1,556,558,358.85"
writing,"1,556,558,479.42","1,556,558,685.44"
audio,"1,556,558,479.42","1,556,558,685.44"
visual,"1,556,558,479.42","1,556,558,685.44"
writing,"1,556,561,207.03","1,556,562,453.56"
audio,"1,556,561,207.03","1,556,562,453.56"
visual,"1,556,561,207.03","1,556,562,453.56"
writing,"1,556,562,552.68","1,556,566,529.48"
audio,"1,556,562,552.68","1,556,566,513.27"
visual,"1,556,562,552.68","1,556,566,245.80"
writing,"1,556,571,888.25","1,556,576,327.18"
writing,"1,556,577,727.80","1,556,578,848.68"
